,SAMPLE_ID,SumOfLength.cm.,SumOfProjArea.cm2.,SumOfSurfArea.cm2.,SumOfAvgDiam.mm.,SumOfRootVolume.cm3.,STEM,COTS_TOTAL,LEAF_TOTAL,Total.Of.PROJ_AREA_AG,LEAF,LEAVES_TOTAL,TRANSP_DATE,GERM_ID,COLOR,TLD,HD,H_num,HT,L_num,C_num,PWF,L.SFW,CWS,CWD,LWS,LWD,SWS,SWD,RWF,RWD,LWF_A,LWS_A,LWD_A,LWF_B,LWS_B,LWD_B,BWF_A,BWS_A,BWD_A,SWF_A,SWD_A,NOTES,AVG_SEED_WEIGHT,SPECIES,LOCATION_CODE,POP_CODE,SAMPLE_NUM,LETTER,COLOR,POP_ID,SLA,LW_Max_A,LW_Max_B,BW_Max,LW_Max_Sum,LDMC,SRL,RMR,RALAR
1,ACMI_NMNC_CM_1_H4_O,1039.1887,32.7809,102.9844,0.3154,0.812,NA,NA,NA,NA,NA,NA,20-Jul,A3,O,7-Aug,12-Oct,4,13,7,NA,2.2032,1.007,NA,NA,0.6828,0.1242,0.0087,NA,0.93,0.0718,0.3836,0.3841,0.0472,NA,NA,NA,NA,NA,NA,NA,,NA,7.75E-05,ACMI,NMNC,CM,1,H4,O,ACMI_NMNC_CM,NA,0.3841,NA,NA,0.3841,0.122884665,144.7338022,0.295230263,NA
4,ACMI_NMNC_CM_14_H1_G,4.1629,0.0651,0.2044,0.1563,0.001,NA,0.0414,NA,0.0563,NA,0.0149,2-Aug,D2,G,9-Aug,11-Aug,1,0.6,2,2,0.002,0.0015,0.0037,NA,0.0013,NA,NA,NA,3.00E-04,8.60E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,7.75E-05,ACMI,NMNC,CM,14,H1,G,ACMI_NMNC_CM,NA,NA,NA,NA,NA,NA,484.0581395,1,0.536243822
5,ACMI_NMNC_CM_14_H1_O,3.4333,0.0504,0.1582,0.1467,0.001,NA,0.0465,NA,0.0646,NA,0.0181,2-Aug,D3,O,9-Aug,11-Aug,1,0.7,2,2,0.0025,0.0017,0.002,9.00E-04,6.00E-04,NA,7.00E-04,NA,NA,7.07E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,7.75E-05,ACMI,NMNC,CM,14,H1,O,ACMI_NMNC_CM,NA,NA,NA,NA,NA,NA,485.6152758,0.072834037,0.43826087
9,ACMI_NMNC_CM_18_H1_G,0.3631,0.0074,0.0234,0.2048,NA,NA,0.0194,NA,0.0194,NA,NA,4-Aug,B1,G,14-Aug,14-Aug,1,0.8,NA,2,0.0016,0.0029,0.0015,4.00E-04,NA,NA,NA,NA,1.00E-04,5.00E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,7.75E-05,ACMI,NMNC,CM,18,H1,G,ACMI_NMNC_CM,NA,NA,NA,NA,NA,NA,72.62,0.111111111,0.276119403
10,ACMI_NMNC_CM_18_H1_O,5.0644,0.1163,0.3653,0.2296,0.002,NA,0.0614,NA,0.0614,NA,NA,4-Aug,C3,O,14-Aug,14-Aug,1,0.6,2,2,0.004,0.006,0.0023,0.001,0.0021,8.00E-04,0.0011,NA,0.0023,9.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,7.75E-05,ACMI,NMNC,CM,18,H1,O,ACMI_NMNC_CM,NA,NA,NA,NA,NA,0.380952381,56.27111111,0.333333333,0.654473832
13,ACMI_NMNC_CM_8_H4_O,6970.3049,209.5745,658.3977,0.882,4.967,NA,NA,20.3113,20.3113,20.3113,NA,2-Aug,C11,O,21-Aug,26-Oct,4,20.6,27,NA,13.7131,7.5109,NA,NA,7.5109,1.0343,5.00E-04,NA,0.003,NA,0.8755,0.7912,0.136,NA,NA,NA,NA,NA,NA,NA,,NA,7.75E-05,ACMI,NMNC,CM,8,H4,O,ACMI_NMNC_CM,149.3477941,0.8755,NA,NA,0.8755,0.155339806,NA,NA,NA
14,ACMI_UTNW_CCC_1_H1_B,4.9697,0.1108,0.348,0.2229,0.002,NA,NA,NA,NA,NA,NA,22-Aug,E6,B,,1-Sep,1,0.3,NA,NA,0.0012,9.00E-04,NA,8.20E-05,NA,NA,NA,NA,0.0012,7.60E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Need ~6 more,NA,7.25E-05,ACMI,UTNW,CCC,1,H1,B,ACMI_UTNW_CCC,NA,NA,NA,NA,NA,NA,653.9078947,0.481012658,NA
15,ACMI_UTNW_CCC_1_H1_R,0.018,3.00E-04,9.00E-04,0.1573,NA,NA,0.0263,NA,0.0263,NA,NA,22-Aug,E9,R,,1-Sep,1,0.15,1,2,0.0021,0.0018,0.001,NA,9.00E-04,1.27E-05,NA,NA,4.00E-04,3.06E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thinned 3, 4, 5 (9/19)",NA,7.25E-05,ACMI,UTNW,CCC,1,H1,R,ACMI_UTNW_CCC,NA,NA,NA,NA,NA,0.014144444,5.882352941,0.70620817,0.011278195
17,ACMI_UTNW_CCC_2_H2_R,3.7238,0.067,0.2105,0.1799,0.001,NA,0.0028,NA,0.0325,NA,0.0297,22-Aug,E11,R,,15-Sep,2,1.2,2,2,0.0025,0.0017,0.001,1.00E-04,4.00E-04,NA,7.00E-04,NA,9.00E-04,5.50E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,7.25E-05,ACMI,UTNW,CCC,2,H2,R,ACMI_UTNW_CCC,NA,NA,NA,NA,NA,NA,677.0545455,0.35483871,0.673366834
18,ACMI_UTNW_CCC_4_H4_R,1778.0251,58.0745,182.4465,0.3266,1.49,NA,NA,14.6509,14.6509,NA,NA,22-Aug,F4,R,5-Sep,17-Nov,4,19,NA,NA,7.284,4.6356,NA,NA,NA,0.5147,NA,NA,1.7384,0.1343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,7.25E-05,ACMI,UTNW,CCC,4,H4,R,ACMI_UTNW_CCC,Inf,NA,NA,NA,NA,NA,132.3920402,0.206933744,NA
19,ACMI_UTNW_CCC_5_H4_R,708.0976,26.1568,82.174,0.3694,0.759,NA,NA,14.1,14.1,NA,NA,22-Aug,F8,R,31-Aug,20-Nov,4,17.2,13,NA,NA,1.59,NA,NA,NA,0.2204,NA,NA,0.8398,0.0724,0.2809,0.1228,0.034,0.2169,0.2169,0.031,NA,NA,NA,NA,,NA,7.25E-05,ACMI,UTNW,CCC,5,H4,R,ACMI_UTNW_CCC,216.9230769,0.2809,0.2169,NA,0.4978,0.130574528,97.80353591,0.20234768,NA
22,ACMI_UTNW_CCC_7_H4_R,1236.8167,42.5658,133.7243,0.3442,1.151,NA,NA,21.1321,21.1321,NA,NA,22-Aug,,R,5-Sep,15-Nov,4,16.4,20,NA,NA,2.2946,NA,NA,NA,0.2409,NA,NA,1.2919,0.0741,0.5271,0.5272,0.0513,0.3144,0.3144,0.035,NA,NA,NA,NA,,NA,7.25E-05,ACMI,UTNW,CCC,7,H4,R,ACMI_UTNW_CCC,244.8679027,0.5272,0.3144,NA,0.8416,0.102542776,166.9118354,0.184649888,NA
25,ACMI_UTNW_VE_1_H2_O,6.949,0.1273,0.4001,0.1833,0.002,NA,NA,NA,0.0998,NA,0.0998,17-Jul,5A,O,31-Jul,10-Aug,2,1.4,3,2,0.0051,0.0028,0.0017,0.0027,NA,3.00E-04,NA,NA,NA,9.00E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0.0001125,ACMI,UTNW,VE,1,H2,O,ACMI_UTNW_VE,332.6666667,NA,NA,NA,NA,NA,772.1111111,0.029126214,0.560546015
26,ACMI_UTNW_VE_10_H4_O,1076.1812,23.7832,74.7171,0.4549,0.43,NA,NA,9.7547,9.7547,9.7547,NA,17-Jul,2B,O,1-Aug,9-Oct,4,18.6,11,NA,3.0206,1.9468,NA,NA,1.59,0.2192,NA,NA,0.6196,0.0491,0.451,0.451,0.0481,NA,NA,NA,NA,NA,NA,NA,,NA,0.0001125,ACMI,UTNW,VE,10,H4,O,ACMI_UTNW_VE,202.8004158,0.451,NA,NA,0.451,0.106651885,219.1815071,0.155183312,NA
27,ACMI_UTNW_VE_11_H1_G,0.8435,0.0185,0.0581,0.2194,NA,NA,0.0215,NA,0.0215,NA,NA,17-Jul,7D,G,,27-Jul,1,1.1,2,2,0.003,6.00E-04,NA,NA,5.00E-04,1.00E-04,8.00E-04,NA,NA,5.00E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0.0001125,ACMI,UTNW,VE,11,H1,G,ACMI_UTNW_VE,NA,NA,NA,NA,NA,0.2,168.7,0.333333333,0.4625
