SAMPLE_ID,SumOfLength(cm),SumOfProjArea(cm2),SumOfSurfArea(cm2),SumOfAvgDiam(mm),SumOfRootVolume(cm3),STEM,COTS_TOTAL,LEAF_TOTAL,LEAVES_TOTAL,Total Of PROJ_AREA_AG,LEAF,TRANSP_DATE,GERM_ID,COLOR,TLD,HD,H_num,HT,L_num,C_num,PWF,L+SFW,CWS,CWD,LWS,LWD,SWS,SWD,RWF,RWD,LWF_A,LWS_A,LWD_A,LWF_B,LWS_B,LWD_B,BWF_A,BWS_A,BWD_A,SWF_A,SWD_A,NOTES,AVG_SEED_WEIGHT
ACMI_NMNC_CM_1_H4_O,1039.1887,32.7809,102.9844,0.3154,0.812,,0,0,0,,,7/20/18,A3,O,8/7/18,10/12/18,4,13,7,,2.2032,1.007,,,0.6828,0.1242,0.0087,,0.93,0.0718,0.3836,0.3841,0.0472,,,,,,,,,,0.0000775
ACMI_NMNC_CM_2_H3_O,28.7008,0.4697,1.4757,0.1637,0.006,,0.0441,0,0.3596,0.4037,,7/20/18,B2,O,8/3/18,8/31/18,3,2.5,5,2,0.0188,0.0109,0.0006,0,0.008,0.0011,0.0006,0,0.0064,0.0002,,,,,,,,,,,,,0.0000775
ACMI_NMNC_CM_3_H3_G,18.8451,0.3342,1.0498,0.1773,0.005,,0.0556,0,0.4074,0.463,,7/20/18,A7,G,8/3/18,8/31/18,3,2.9,5,2,0.0163,0.0113,0.0004,0,0.0078,0.0006,0.0005,0,0.003,0.00032,,,,,,,,,,,,,0.0000775
ACMI_NMNC_CM_8_H4_O,6970.3049,209.5745,658.3977,0.882,4.967,,0,20.3113,0,20.3113,20.3113,8/2/18,C11,O,8/21/18,10/26/18,4,20.6,27,,13.7131,7.5109,,,7.5109,1.0343,0.0005,0,0.003,,0.8755,0.7912,0.136,,,,,,,,,,0.0000775
ACMI_NMNC_CM_12_H2_G,8.3005,0.1461,0.4588,0.176,0.002,,0.028,0,0.0316,0.0596,,8/2/18,C8,G,8/15/18,8/25/18,2,0.5,2,2,0.0033,0.0017,0.0004,0,0.0016,0.000185,,,0.0012,0.00011,,,,,,,,,,,,,0.0000775
ACMI_NMNC_CM_14_H1_G,4.1629,0.0651,0.2044,0.1563,0.001,,0.0414,0,0.0149,0.0563,,8/2/18,D2,G,8/9/18,8/11/18,1,0.6,2,2,0.002,0.0015,0.0037,0,0.0013,,,,0.0003,,,,,,,,,,,,,,0.0000775
ACMI_NMNC_CM_15_H2_G,62.2957,1.0764,3.3814,0.5179,0.014,,0.0823,0,0.3073,0.3896,,8/2/18,D10,G,8/14/18,8/25/18,2,1.5,3,2,0.0202,0.0099,0.0029,0,0.0092,0.0011,,0.0005,0.0041,0.0001,,,,,,,,,,,,,0.0000775
ACMI_NMNC_CM_17_H3_G,26.15,0.4037,1.2682,0.1544,0.005,,0.0348,0,1.7977,1.8325,,8/4/18,C1,G,8/14/18,9/15/18,3,3.1,8,,0.0566,0.0499,,,0.0432,0.0042,,,0.0066,0.0007,,,,,,,,,,,,,0.0000775
ACMI_NMNC_CM_18_H1_G,0.3631,0.0074,0.0234,0.2048,0,,0.0194,0,0,0.0194,,8/4/18,B1,G,8/14/18,8/14/18,1,0.8,0,2,0.0016,0.0029,0.0015,0.0004,,,,,0.0001,0,,,,,,,,,,,,,0.0000775
ACMI_NMNC_CM_12_H2_O,3.3632,0.0763,0.2396,0.2267,0.001,,0.0416,0,0.0358,0.0774,,8/2/18,C8,O,8/15/18,8/25/18,2,0.7,3,2,0.0036,0.0025,0.0009,0,0.0015,0.000196,,,0.011,0.00014,,,,,,,,,,,,,0.0000775
ACMI_NMNC_CM_14_H1_O,3.4333,0.0504,0.1582,0.1467,0.001,,0.0465,0,0.0181,0.0646,,8/2/18,D3,O,8/9/18,8/11/18,1,0.7,2,2,0.0025,0.0017,0.002,0.0009,0.0006,0,0.0007,0,0,0,,,,,,,,,,,,,0.0000775
ACMI_NMNC_CM_18_H1_O,5.0644,0.1163,0.3653,0.2296,0.002,,0.0614,0,0,0.0614,,8/4/18,C3,O,8/14/18,8/14/18,1,0.6,2,2,0.004,0.006,0.0023,0.001,0.0021,0.0008,0.0011,0,0.0023,0.0009,,,,,,,,,,,,,0.0000775
ACMI_NMNC_CM_15_H2_O,28.5946,0.4793,1.5057,0.1676,0.006,,0.0736,0,0.4416,0.5152,,8/2/18,D10,O,8/14/18,8/25/18,2,1.3,2,2,0.0202,0.0109,0.0013,0,0.0115,0.0009,,,0.0075,,,,,,,,,,,,,,0.0000775
ACMI_UTNW_VE_1_H2_G,9.0825,0.1802,0.566,0.1984,0.003,,0.0712,0,0.1231,0.1943,,7/17/19,12B,G,7/31/19,8/10/19,2,1.6,3,2,0.0085,0.0067,0.0031,0.001,0.0035,0.0012,0.0005,0,0.0007,0.0001,,,,,,,,,,,Enough plants,,0.0001125
ACMI_UTNW_VE_1_H2_O,6.949,0.1273,0.4001,0.1833,0.002,,0,0,0.0998,0.0998,,7/17/19,5A,O,7/31/19,8/10/19,2,1.4,3,2,0.0051,0.0028,0.0017,0.0027,,0.0003,,,,0.00009,,,,,,,,,,,,,0.0001125
ACMI_UTNW_VE_2_H3_G,29.8569,0.6017,1.8905,0.2015,0.01,,0.0379,0,0.2188,0.2567,,7/17/19,10C,G,8/7/19,8/29/19,3,1.3,5,2,0.0164,0.0072,0,0,0.0042,0.000075,0.0006,,0.0083,0.0002,,,,,,,,,,,Thinned on 8/28,,0.0001125
ACMI_UTNW_VE_2_H3_O,25.9521,0.6111,1.9198,0.2355,0.011,,0.0487,0,0.2122,0.2609,,7/17/19,6B,O,8/2/19,8/29/19,3,1,5,2,0.0182,0.0087,0.0004,0,0.0051,0.0005,0.0006,,0.0081,0.0007,,,,,,,,,,,,,0.0001125
ACMI_UTNW_VE_3_H3_G,57.4104,1.2477,3.9198,0.2173,0.021,,0,0,2.4585,2.4585,,7/17/19,11D,G,8/1/19,8/29/19,3,4.2,7,2,0.0983,0.0741,0.0033,0,0.0602,0.0061,,,0.0167,0.0021,,,,,,,,,,,,,0.0001125
ACMI_UTNW_VE_3_H3_O,110.5341,2.0277,6.3702,0.1834,0.029,,0,0,2.9087,2.9087,,7/17/19,4D,O,7/31/19,8/29/19,3,4.3,7,2,0.1296,0.0763,0.0027,0,0.00518,0.0069,,,0.0342,0.0025,,,,,,,,,,,,,0.0001125
