SAMPLE_ID,SumOfLength(cm),SumOfProjArea(cm2),SumOfSurfArea(cm2),SumOfAvgDiam(mm),SumOfRootVolume(cm3),STEM,COTS_TOTAL,LEAF_TOTAL,Total Of PROJ_AREA_AG,LEAF,LEAVES_TOTAL,TRANSP_DATE,GERM_ID,COLOR,TLD,HD,H_num,HT,L_num,C_num,PWF,L+SFW,CWS,CWD,LWS,LWD,SWS,SWD,RWF,RWD,LWF_A,LWS_A,LWD_A,LWF_B,LWS_B,LWD_B,BWF_A,BWS_A,BWD_A,SWF_A,SWD_A,NOTES,AVG_SEED_WEIGHT
ARTR_UTSE_MO_1_H1_O,4.2297,0.1024,0.3218,0.2422,0.002,,0.055,0,0.055,,0,7/25,A5,O,8/3,8/4,1,0.7,2,2,0.0047,0.0041,0.003,0.0001,0,0,0.0023,0.00008,0.0013,0.000108,,,,,,,,,,,,,0.0003375
ARTR_UTSE_MO_11_H3_G,56.0875,1.4807,4.6517,0.264,0.031,,0.0807,0,1.825,,1.7443,7/25,D7,G,8/4,9/5,3,3.6,5,2,0.102,0.0555,0.0018,,0.0463,0.006,0.0037,0,0.0329,0.0026,,,,,,,,,,,,,0.0003375
ARTR_UTSE_MO_13_H1_G,1.2216,0.0326,0.1023,0.2666,0.001,,0.05,0,0.05,,0,7/28,A6,G,8/7,8/7,1,0.7,1,2,0.0031,0.0016,0.0013,0.000144,0.0003,0.000037,0.0005,0,0.0007,0.00007,,,,,,,,,,,,,0.0003375
ARTR_UTSE_MO_13_H1_O,1.0049,0.0321,0.1008,0.3193,0.001,,0.0415,0,0.0776,,0.0361,7/28,A9,O,8/7,8/7,1,1.1,2,2,0.0064,0.0044,0.0018,0.000084,0.0009,0.000141,0.0007,0.000081,0.001,0.00006,,,,,,,,,,,,,0.0003375
ARTR_UTSE_MO_15_H2_G,2.6128,0.0525,0.1649,0.2009,0.001,,0.0516,0,0.0516,,0,7/28,B10,G,8/17,8/21,2,0.7,0,2,0.0036,0.002,0,0,,,,,0.0007,0,,,,,,,,,,,,,0.0003375
ARTR_UTSE_MO_17_H3_O,336.257,8.1862,25.7176,0.2434,0.157,,0,0,11.2485,,11.2485,7/28,C1,O,8/4,9/8,3,7,30,2,0.5777,0.3661,0,,0.3222,0.0497,0.0113,0.002,0.2061,0.0169,,,,,,,,,,,,,0.0003375
ARTR_UTSE_MO_18_H3_G,48.4577,1.0092,3.1705,0.2083,0.017,,0,0,1.1675,,1.1675,7/28,C3,G,8/4,9/8,3,3.4,8,0,0.553,0.0359,,,0.032,0.0043,0.0016,0,0.0163,0.0018,,,,,,,,,,,,,0.0003375
ARTR_UTSE_MO_19_H4_G,1545.2407,44.6697,140.3338,0.2891,1.014,,0,1.5633,1.5633,,0,7/28,C7,G,8/7,10/26,4,13.2,235,0,2.3714,1.2739,,,0.935,0.2803,0.2776,0.0841,0.867,0.1111,0.0058,0.0058,0.0018,,,,0.0326,0.0301,0.0109,0.04,0.0123,,0.0003375
ARTR_UTSE_MO_2_H4_O,936.672,25.4344,79.9045,0.2715,0.542,,0,5.6604,5.6604,,0,7/25,A8,O,8/3,10/19,4,12.8,107,0,1.9819,1.185,,,1.0108,0.1807,0.0417,0.0286,0.6278,0.0622,0.0207,0.0166,0.0043,,,,0.1148,0.0985,0.0212,0.0654,0.0156,,0.0003375
ARTR_UTSE_MO_3_H2_G,16.5982,0.276,0.8672,0.1663,0.004,,0.0514,0,0.4314,,0.38,7/25,A10,G,8/3,8/18,2,2.9,4,2,0.0238,0.0142,0,0,0.0121,0.0022,0.0019,0,0.0027,0.000233,,,,,,,,,,,,Aboveground resaturated for 72 hours,0.0003375
ARTR_UTSE_MO_3_H2_O,6.2928,0.1579,0.4962,0.251,0.003,,0.0384,0,0.5797,,0.5413,7/25,A12,O,8/3,8/18,2,3.1,5,2,0.0219,0.0177,0,0,0.0159,0.0023,0.0011,0,0.0022,0.000343,,,,,,,,,,,,,0.0003375
ARTR_UTSE_MO_5_H1_G,2.8362,0.0747,0.2348,0.2635,0.002,,0.0929,0,0.1103,,0.0174,7/25,B8 or B11,G,8/3,8/4,1,1.4,2,2,0.0099,0.0045,0.0066,0.000259,0,0,0.0013,0,0.0017,0.000136,,,,,,,,,,,,,0.0003375
ARTR_UTSE_MO_7_H4_O,1399.7716,38.0092,119.4093,0.2715,0.811,,0,2.2789,2.2789,,0,7/25,C9,O,8/7,10/19,4,12.6,167,0,2.2112,1.1984,,,0.9839,0.2908,0.1713,0.061,0.8257,0.115,0.0169,0.0157,0.0051,,,,0.0544,0.0511,0.0135,0.0198,0.007,,0.0003375
ARTR_UTSE_MO_8_H3_O,48.3857,1.1619,3.6501,0.2401,0.022,,0,0,0.4337,,0.4337,7/25,C11,O,8/4,9/5,3,6.2,12,0,0.1321,0.0891,,,0.0783,0.0106,0.0134,0.0015,0.0306,0.0025,,,,,,,,,,,,,0.0003375
