SAMPLE_ID,SumOfLength(cm),SumOfProjArea(cm2),SumOfSurfArea(cm2),SumOfAvgDiam(mm),SumOfRootVolume(cm3),STEM,COTS_TOTAL,LEAF_TOTAL,Total Of PROJ_AREA_AG,LEAF,LEAVES_TOTAL,TRANSP_DATE,GERM_ID,COLOR,TLD,HD,H_num,HT,L_num,C_num,PWF,L+SFW,CWS,CWD,LWS,LWD,SWS,SWD,RWF,RWD,LWF_A,LWS_A,LWD_A,LWF_B,LWS_B,LWD_B,BWF_A,BWS_A,BWD_A,SWF_A,SWD_A,NOTES,AVG_SEED_WEIGHT
ELTR_NMNW_C_IN_10_H4_G,8205.6245,226.5374,711.6885,1.9024,5.249,,0,12.8695,12.8695,,0,9/28,,G,9/28,12/21,4,61,54,,,6.817,,,6.817,1.3198,,0.2005,3.807,0.5141,0.1868,0.187,0.0454,,,,,,,,,,
ELTR_NMNW_C_IN_11_H2_G,156.3258,4.9249,15.4721,0.315,0.122,,0,0,2.1984,,2.1984,9/29,,G,9/29,10/23,2,11.4,2,,0.0814,0.0172,,,0.0154,0.0034,0.0011,0,0.0598,0.0062,,,,,,,,,,,,,
ELTR_NMNW_C_IN_14_H4_G,,,,,,,0,6.6164,6.6164,,0,10/2,,G,10/2,12/27,4,47.2,61,,,,,,4.4251,1.205,,,,,0.0816,0.0583,0.032,0.0165,0.0172,0.0022,,,,,,,
ELTR_NMNW_C_IN_15_H3_O,437.8991,16.4917,51.8102,0.3766,0.488,,0,2.3678,11.8071,,9.4393,10/2,,O,10/2,11/13,3,29.4,5,,0.3511,0.1544,,,0.1271,0.0283,,,0.1967,0.0245,0.0266,0.0305,0.0065,,,,,,,,,,
ELTR_NMNW_C_IN_16_H1_G,28.2936,0.9683,3.0419,0.3422,0.026,,0,0,1.1136,,1.1136,9/29,,G,9/29,10/9,1,10.7,2,,0.0301,0.0106,,,0.0116,0.0018,,,0.0143,0.001,,,,,,,,,,,,,
ELTR_NMNW_C_IN_16_H1_O,29.1489,1.0376,3.2596,0.356,0.029,,0,0,1.0901,,1.0901,9/29,,O,9/29,10/9,1,11.1,1,,0.0313,0.01,,,0.0108,0.0022,,,0.0158,0.0013,,,,,,,,,,,,,
ELTR_NMNW_C_IN_18_H1_G,31.479,1.1221,3.5253,0.3565,0.031,,0,0,1.343,,1.343,10/2,,G,10/2,10/12,1,11.8,2,,0.0331,0.0108,,,0.0107,0.0024,,,0.0152,0.0011,,,,,,,,,,,,,
ELTR_NMNW_C_IN_18_H1_O,35.2797,1.1771,3.6978,0.3336,0.031,,0,0,1.2506,,1.2506,10/2,,O,10/2,10/12,1,11.6,1,,0.0297,0.0114,,,0.0108,0.00021,,,0.0127,0.0012,,,,,,,,,,,,,
ELTR_NMNW_C_IN_19_H2_G,191.6648,5.6722,17.8196,0.2959,0.132,,0,0,1.9504,,1.9504,10/2,,G,10/2,10/26,2,12.8,2,,0.0698,0.0203,,,0.0206,0.005,,,0.036,0.0083,,,,,,,,,,,,,
ELTR_NMNW_C_IN_19_H2_O,88.0364,2.5067,7.8749,0.2847,0.056,,0,0,0.961,,0.961,10/2,,O,10/2,10/26,2,10.2,2,,0.0384,0.0099,,,0.009,0.0019,,,0.0202,0.0041,,,,,,,,,,,,,
ELTR_NMNW_C_IN_2_H3_G,213.7537,6.5978,20.7276,0.3087,0.16,,0,0,8.3383,,8.3383,9/28,,G,9/28,11/9,3,19,4,,0.1655,0.0929,,,0.0685,0.0175,,,0.0637,0.0084,,,,,,,,,,,,,
ELTR_NMNW_C_IN_4_H4_O,4953.5977,141.2559,443.7688,1.1218,3.207,,0,12.8926,12.8926,,0,9/28,,O,9/28,12/20,4,52.5,46,,,,,,6.0253,1.2678,0.6928,0.1429,4.291,0.6046,0.1414,0.1362,0.0314,0.0441,0.0462,0.0101,,,,,,,
ELTR_NMNW_C_IN_5_H3_G,374.9318,13.5884,42.6891,0.3624,0.387,,0,0,11.84,,11.84,10/2,,G,10/2,11/13,3,30.5,7,,0.1908,0.1533,,,0.1533,0.0359,,,0.0375,0.013,,,,,,,,,,,,,
ELTR_NMNW_C_IN_5_H3_O,140.8368,5.5703,17.4995,0.3955,0.173,,0,0,6.7779,,6.7779,10/2,,O,9/28,11/9,2,20,4,,0.0925,0.0212,,,0.07,0.0174,,,0.0713,0.0068,,,,,,,,,,,,,
ELTR_NMNW_C_IN_6_H2_G,245.6846,7.2667,22.8289,0.2958,0.169,,0,0,3.3628,,3.3628,9/29,,G,9/29,10/23,2,13.7,3,,0.124,0.0317,,,0.0245,0.0057,0.0068,0.0008,0.0742,0.0079,,,,,,,,,,,,,
ELTR_UTC_TMC_10_H2_B,42.4011,0.9844,3.0926,0.2322,0.018,,0,0,0.2734,,0.2734,10/6,,B,10/6,10/30,2,3.5,2,,0.0093,0.0022,,,0.0025,0.00052,,,0.0069,0.0010725,,,,,,,,,,,,,
ELTR_UTC_TMC_11_H3_B,107.3939,2.6899,8.4507,0.2505,0.053,,0,0,2.6867,,2.6867,10/8,,B,10/8,11/20,3,9.8,5,,0.0519,0.0279,,,0.0293,0.0048,,,0.023,0.0021,,,,,,,,,,,,,
ELTR_UTC_TMC_12_H1_B,10.7379,0.2539,0.7976,0.2364,0.005,,0,0,0.235,,0.235,10/16,,B,10/16,10/26,1,3,1,,0.0019,0.0013,,,0.0018,0.000316,,,0.0007,0.0003277,,,,,,,,,,,,,
ELTR_UTC_TMC_13_H3_B,57.2568,1.4976,4.7049,0.2616,0.031,,0,0,2.9855,,2.9855,10/8,,B,10/8,11/20,3,10.3,5,,0.04,0.0253,,,0.0247,0.0036,,,0.0013,0.0014,,,,,,,,,,,,,
ELTR_UTC_TMC_15_H3_R,69.4081,2.0333,6.3879,0.293,0.047,,0,0,1.4937,,1.4937,10/10,,R,10/10,11/21,3,7.2,4,,0.0339,0.0156,,,0.016,0.0023,,,,0.0024,,,,,,,,,,,,,
ELTR_UTC_TMC_17_H2_B,33.8364,0.7763,2.4388,0.2294,0.014,,0,0,0.3265,,0.3265,10/9,,B,10/9,11/2,2,3,2,,0.0061,0.0016,,,0.0021,0.0007,,,0.0055,0.0007,,,,,,,,,,,,,
ELTR_UTC_TMC_17_H2_R,16.4927,0.4139,1.3003,0.251,0.008,,0,0,0.3243,,0.3243,10/9,,R,10/9,11/2,2,2.8,2,,0.0043,0.0025,,,0.0025,0.0007,,,0.0023,0.0005,,,,,,,,,,,,,
ELTR_UTC_TMC_2_H4_B,770.143,25.1769,79.0957,0.3269,0.646,,0,3.8579,3.8579,,0,10/4,,B,10/4,12/27,4,20.8,19,,,0.676,,,,0.15,,,,,0.0403,0.0417,0.0089,0.0142,0.0149,0.003,,,,,,,
ELTR_UTC_TMC_3_H1_R,6.977,0.1879,0.5904,0.2693,0.004,,0,0,0.1855,,0.1855,,,R,10/5,10/16,1,2.8,1,,0.0022,0.0015,,,0.011,0.0002394,,,0,0.0002282,,,,,,,,,,,,,
ELTR_UTC_TMC_4_H4_B,785.5142,25.6842,80.6893,0.327,0.66,,0,5.5886,5.5886,,0,10/11,,B,10/11,1/3,4,24.6,19,,,0.728,,,,0.1514,,,0.5235,0.0628,0.0541,0.053,0.0097,0.021,0.0212,0.0041,,,,,,,
ELTR_UTC_TMC_7_H4_B,2319.2078,76.1523,239.2395,0.9847,1.978,,0,2.8875,2.8875,,0,10/11,,B,10/11,1/3,4,33.5,36,,,2.185,,,2.185,0.416,,,1.4623,0.1712,0.025,0.0245,0.0051,0.0155,0.016,0.0026,,,,,,,
ELTR_UTC_TMC_8_H1_B,8.4723,0.2223,0.6985,0.5251,0.004,,0,0,0.0995,,0.0995,10/4,,B,10/4,10/13,1,2,1,,0.0009,0.0007,,,0.0005,0.0001034,,,0.0006,0.0001631,,,,,,,,,,,,,
ELTR_UTC_TMC_8_H1_R,9.8784,0.2688,0.8446,0.2721,0.006,,0,0,0.1596,,0.1596,10/4,,R,10/4,10/13,1,3.1,1,,0.004,0.0017,,,0.0014,0.0001388,,,0.0013,0.0000962,,,,,,,,,,,,,
ELTR_UTSW_DNF_1_H3_R,304.4264,9.2914,29.1898,0.3052,0.223,,0,0,10.8429,,10.8429,7/31,,R,7/31,9/11,3,24.7,4,,0.2824,0.1366,,,0.1414,0.0275,,,0.1046,0.012,,,,,,,,,,,,,
