SAMPLE_ID,SumOfLength(cm),SumOfProjArea(cm2),SumOfSurfArea(cm2),SumOfAvgDiam(mm),SumOfRootVolume(cm3),STEM,COTS_TOTAL,LEAF_TOTAL,Total Of PROJ_AREA_AG,LEAF,LEAVES_TOTAL,TRANSP_DATE,GERM_ID,COLOR,TLD,HD,H_num,HT,L_num,C_num,PWF,L+SFW,CWS,CWD,LWS,LWD,SWS,SWD,RWF,RWD,LWF_A,LWS_A,LWD_A,LWF_B,LWS_B,LWD_B,BWF_A,BWS_A,BWD_A,SWF_A,SWD_A,NOTES,AVG_SEED_WEIGHT
HEAN_AZSE_HWD_1_H1_O,6.5939,0.1609,0.5055,0.244,0.003,,0.0858,0,0.1461,,0.0603,8/2,A7,O,,8/11,1,1.6,2,2,0.012,0.0069,0.0058,0.0048,0.0015,0.0007,0.005,0.002,0.0039,0.0011,,,,,,,,,,,,,
HEAN_AZSE_HWD_11_H3_O,58.599,1.2311,3.8676,0.2101,0.02,,0,0,3.16,,3.16,8/9,C11,O,,9/20,3,3.9,4,,0.1145,0.0908,,,0.0801,0.0094,0.0044,0.0003,0.0237,0.0021,,,,,,,,,,,,,
HEAN_AZSE_HWD_12_H4_G,10945.5348,372.2949,1169.5989,0.6705,10.2,,0,24.456,24.456,24.456,0,8/9,D7,G,,11/1,4,47.8,26,,29.0262,16.3188,,,9.187,1.2267,7.1318,1.2526,11.548,0.8419,0.728,0.5083,0.0985,,,,,,,,,,
HEAN_AZSE_HWD_14_H2_O,8.7755,0.1872,0.5882,0.2134,0.003,,0.0236,0,0.2641,,0.2405,8/16,C3,O,,9/10,2,2.4,4,,0.0167,0.0108,,,0.0077,0.0009,0.0018,0.0004,0.0024,0.0002533,,,,,,,,,,,,,
HEAN_AZSE_HWD_15_H2_O,4.7499,0.1359,0.4268,0.286,0.003,,0,0,0.2135,,0.2135,8/16,C5,O,,9/1,2,1.7,4,,0.00115,0.0069,,,0.0026,0.001,0.0011,0.0003,0.0018,0.0003488,,,,,,,,,,,,,
HEAN_AZSE_HWD_2_H2_O,9.163,0.2199,0.6909,0.24,0.004,,0.0299,0,0.4706,,0.4407,8/2,B2,O,,8/25,2,3.7,4,2,0.0287,0.0237,0.0081,0.001,0.0036,0.0003,0.0149,0.0006,0.0048,0.0005,,,,,,,,,,,,,
HEAN_AZSE_HWD_6_H2_G,8.0471,0.2561,0.8044,0.3182,0.006,,0.0175,0,0.4228,,0.4053,8/2,C10,G,,8/25,2,2.2,4,2,0.0195,0.0113,,,0.0081,0.0008,0.0046,0.0003,0.0059,0.0005796,,,,,,,,,,,,,
HEAN_AZSE_HWD_7_H3_O,16.0556,0.6156,1.934,0.3834,0.019,,0,0,2.9661,,2.9661,8/2,D4,O,,9/13,3,6.2,4,2,0.148,0.1157,,,0.0789,0.0078,0.0397,0.0022,0.0272,0.0028,,,,,,,,,,,,,
HEAN_AZSE_HWD_8_H4_O,14795.4337,438.6843,1378.1675,1.7912,10.305,,0,17.4256,17.4256,17.4256,0,8/9,D9,O,,11/1,4,46,31,,,,,,10.3312,1.3411,7.546,1.6227,12.9414,0.8898,0.5312,0.5538,0.0722,,,,,,,,,,
HEAN_AZSE_HWD_9_H1_G,9.2622,0.2153,0.6764,0.2325,0.004,,0.077,0,0.161,,0.084,8/9,A8,G,,8/18,1,0.8,2,2,0.0071,0.0051,0.0028,0.00005,0.0035,0.0006,0.0027,0.0001,0.0016,0.0006,,,,,,,,,,,,,
