SAMPLE_ID,SumOfLength(cm),SumOfProjArea(cm2),SumOfSurfArea(cm2),SumOfAvgDiam(mm),SumOfRootVolume(cm3),STEM,COTS_TOTAL,LEAF_TOTAL,Total Of PROJ_AREA_AG,LEAF,LEAVES_TOTAL,TRANSP_DATE,GERM_ID,COLOR,TLD,HD,H_num,HT,L_num,C_num,PWF,L+SFW,CWS,CWD,LWS,LWD,SWS,SWD,RWF,RWD,LWF_A,LWS_A,LWD_A,LWF_B,LWS_B,LWD_B,BWF_A,BWS_A,BWD_A,SWF_A,SWD_A,NOTES,AVG_SEED_WEIGHT
HECO_AZNC_KV_1_H1_G,23.5857,0.8305,2.6092,0.3521,0.023,,0,0,1.189,,1.189,7/26,A2,G,,8/4,1,7.3,2,,0.0371,0.0136,,,0.0126,,,,0.0154,0.0025,,,,,,,,,,,,Above-ground lost after saturation,
HECO_AZNC_KV_12_H4_G,5696.0604,168.2813,528.6711,0.8406,4.082,,0,3.9604,3.9604,,0,8/18,G1,G,,11/20,4,26.9,,,8.3116,4.1523,,,4.0741,1.3252,,,2.734,0.483,0.047,0.0414,0.0162,0.0186,0.0185,0.0062,,,,,,"Late H4; stump fresh = 0.3727, stump dry = 0.0986; leaf A - big, leaf B - small",
HECO_AZNC_KV_13_H1_G,14.3895,0.6708,2.1075,0.4662,0.025,,0,0,1.6811,,1.6811,8/18,G7,G,,8/29,1,7.4,3,,0.0459,0.0169,,,0.0125,0.0033,,,0.0137,0.0013,,,,,,,,,,,,,
HECO_AZNC_KV_3_H3_G,238.5084,5.6014,17.5973,0.2349,0.103,,0,0,7.3134,,7.3134,7/26,A10,G,,9/6,3,18.9,8,,0.1796,0.1061,,,0.0986,0.0281,,,0.0732,0.0104,,,,,,,,,,,,,
HECO_AZNC_KV_4_H2_G,178.0716,4.6485,14.6036,0.261,0.095,,0,0,2.2413,,2.2413,7/26,C12,G,,8/18,2,11.5,3,,0.1079,0.0284,,,0.0193,0.006,0.0082,0.0024,0.0594,0.0081,,,,,,,,,,,,,
HECO_AZNC_KV_4_H2_O,185.7397,4.7618,14.9598,0.2564,0.096,,0,0,2.5835,,2.5835,7/26,D7,O,,8/18,2,12,3,,0.1266,0.0357,,,0.0273,0.0087,0.0084,0.0025,0.0637,0.0082,,,,,,,,,,,,,
HECO_AZNC_KV_6_H1_G,11.4878,0.5153,1.6188,0.4485,0.018,,0,0,1.3897,,1.3897,8/1,B3,G,,8/11,1,7.7,2,,0.0455,0.0147,,,0.0104,0.0032,0.0038,0.0008,0.0162,0.0028,,,,,,,,,,,,,
HECO_AZNC_KV_6_H1_O,17.1005,0.7517,2.3614,0.4396,0.026,,0,0,1.74,,1.74,8/1,B9,O,,8/11,1,9.6,2,,0.0524,0.0197,,,0.0156,0.0036,0.0057,0.0016,0.0207,0.0026,,,,,,,,,,,,,
HECO_AZNC_KV_7_H3_G,245.03095,6.1776,19.40735,0.63075,0.126,,0,0,4.5996,,4.5996,8/1,B11,G,,9/12,3,12.3,3,,0.0859,0.0234,,,0.021,0.0086,,,0.0391,0.0047,,,,,,,,,,,,,
HECO_AZNC_KV_7_H3_O,717.99315,17.9218,56.30315,0.59815,0.354,,0,0,7.9614,,7.9614,8/1,B7,O,,9/12,3,16.4,9,,0.1054,,,,0.1153,0.0289,,,0.1324,0.0176,,,,,,,,,,,,,
HECO_AZNC_KV_9_H2_G,107.1953,4.008,12.5914,0.3739,0.118,,0,0,10.4206,,10.4206,8/18,E4,G,,9/12,2,19.7,8,,0.237,0.1412,,,0.1113,0.0307,,,0.1081,0.0147,,,,,,,,,,,,,
HECO_AZNC_KV_9_H2_O,70.7223,2.4949,7.838,0.3528,0.069,,0,0,6.5484,,6.5484,8/18,E6,O,,9/12,2,16.2,9,,0.1168,0.0808,,,0.0825,0.0182,,,0.0473,0.007,,,,,,,,,,,,,
HECO_UTC_KRRS_1_H2_G,131.3339,4.556,14.313,0.3469,0.124,,0,0,1.7762,,1.7762,7/31,A3,G,,8/24,2,10.6,3,,0.0763,0.0238,,,0.0113,0.0062,0.0056,0.0019,0.0444,0.005,,,,,,,,,,,,,
HECO_UTC_KRRS_10_H4_G,3877.0805,138.8834,436.315,0.3582,3.907,,0,79.6635,79.6635,79.6635,0,8/2,D2,G,,10/26,4,31.5,46,,6.0125,2.1104,,,2.1104,0.6868,,,2.9577,0.4379,0.0613,0.0623,0.0192,,,,,,,,,,
HECO_UTC_KRRS_13_H2_G,128.3087,5.5026,17.2869,0.4289,0.185,,0,0,9.6045,,9.6045,8/18,F11,G,,9/12,2,22.9,7,,0.237,0.1353,,,0.0993,0.0289,,,0.0944,0.0091,,,,,,,,,,,,,
HECO_UTC_KRRS_13_H2_O,92.0702,4.1043,12.894,0.4458,0.144,,0,0,6.0072,,6.0072,8/18,F12,O,,9/12,2,20.9,4,,0.1574,0.0886,,,0.0626,0.016,0.0051,0.0005,0.0615,0.0069,,,,,,,,,,,,,
HECO_UTC_KRRS_14_H4_G,819.1477,19.9349,62.6273,0.2434,0.381,,0,60.1927,60.1927,60.1927,0,8/18,F2,G,,11/15,4,19.5,10,,,0.161,,,0.1212,0.053,,,0.3736,0.0617,,,,,,,,,,,,,
HECO_UTC_KRRS_14_H4_O,5555.0645,156.4139,491.3887,0.8574,3.466,,0,0,130.1128,,130.1128,8/18,F9,O,,11/15,4,28.2,29,,,0.7217,,,1.1205,0.3082,,,3.531,0.4966,0.023,0.0238,0.0104,,,,,,,,,,
HECO_UTC_KRRS_2_H1_G,66.4897,2.5927,8.1452,0.3899,0.079,,0,0,1.9338,,1.9338,7/31,A11,G,,8/10,1,8.8,4,,0.057,0.018,,,0.0134,0.0041,0.0034,0.0013,0.0398,0.0057,,,,,,,,,,,,,
HECO_UTC_KRRS_2_H1_O,30.1761,1.17,3.6758,0.3877,0.036,,0,0,1.3302,,1.3302,7/31,A4,O,,8/10,1,8.1,2,,0.0341,0.0126,,,0.0097,0.0028,0.0032,0.0011,0.018,0.0037,,,,,,,,,,,,,
HECO_UTC_KRRS_3_H3_G,296.9204,10.0022,31.4228,0.3369,0.265,,0,0,9.5132,,9.5132,7/31,B6,G,,9/11,3,21,6,,0.2943,0.1524,,,0.09,0.0326,0.0072,0.0005,0.1458,0.0186,,,,,,,,,,,,,
HECO_UTC_KRRS_3_H3_O,315.7802,8.6865,27.2895,0.2751,0.188,,0,0,9.6651,,9.6651,7/31,C12,O,,9/12,3,22.1,8,,0.2489,0.168,,,0.1162,0.0388,0.0153,0.0015,0.1644,0.0196,,,,,,,,,,,,,
HECO_UTC_KRRS_4_H1_G,54.3391,2.1464,6.743,0.395,0.067,,0,0,1.2642,,1.2642,7/31,D7,G,,8/10,1,8.9,3,,0.0476,0.0119,,,0.0097,0.0035,0.0015,0.0008,0.0318,0.0056,,,,,,,,,,,,,
