SAMPLE_ID,SumOfLength(cm),SumOfProjArea(cm2),SumOfSurfArea(cm2),SumOfAvgDiam(mm),SumOfRootVolume(cm3),STEM,COTS_TOTAL,LEAF_TOTAL,Total Of PROJ_AREA_AG,LEAF,LEAVES_TOTAL,TRANSP_DATE,GERM_ID,COLOR,TLD,HD,H_num,HT,L_num,C_num,PWF,L+SFW,CWS,CWD,LWS,LWD,SWS,SWD,RWF,RWD,LWF_A,LWS_A,LWD_A,LWF_B,LWS_B,LWD_B,BWF_A,BWS_A,BWD_A,SWF_A,SWD_A,NOTES,AVG_SEED_WEIGHT
HEVI_AZNC_KV_1_H1_O,1.3165,0.0386,0.1214,0.2935,0.001,0.0341,0.1399,0,0.174,,0,7/10,,O,,7/21,1,1.3,,2,0.0042,0.0014,0.0029,0.0007,,0.00005,0.0014,0.00003,0,0.000055,,,,,,,,,,,,,0.000605
HEVI_AZNC_KV_13_H3_O,40.1383,0.7917,2.4871,0.1972,0.012,0.0531,0.2512,0,0.8907,,0.5864,7/6,D4,O,7/21,8/17,3,2.6,6,2,0.032,0.0189,0.0001,0.0005,0.0126,0.0013,0.0016,0.0007,0.0112,0.0008,,,,,,,,,,,,,0.000605
HEVI_AZNC_KV_17_H2_O,38.8764,0.8281,2.6017,0.213,0.014,0.0379,0.2423,0,0.7018,,0.4216,8/9,E10,O,8/17,8/19,2,2.4,4,2,0.0286,,0.0028,0.002,0.0129,0.0007,0.0011,0.00003,0.0103,0.006,,,,,,,,,,,,,0.000605
HEVI_AZNC_KV_20_H4_O,1081.5429,43.3902,136.3143,0.4012,1.367,,0,3.8742,40.1869,3.8742,36.3127,8/9,G3,O,8/16,11/2,4,9.5,0,0,2.2283,1.1039,,,1.1401,0.1776,,,1.2825,0.0861,0.0799,0.0799,0.011,,,,,,,,,,0.000605
HEVI_AZNC_KV_3_H2_G,10.0069,0.192,0.6033,0.1919,0.003,0.0577,0.5271,0,0.7728,,0.188,6/30,D11,G,7/12,7/24,2,2,2,2,0.0134,0.0079,0.0033,0.0008,0.0035,0.0001,0.0017,0.00003,0.0034,0.000282,,,,,,,,,,,,,0.000605
HEVI_AZNC_KV_3_H2_O,14.1494,0.2953,0.9276,0.2087,0.005,0.0641,0.3859,0,0.6694,,0.2194,6/30,A10,O,7/12,7/24,2,1.8,3,2,0.0363,0.0153,0.0073,0.0001,0.0057,0.0007,0.0017,0.00003,0.0049,0.0011,,,,,,,,,,,,,0.000605
HEVI_AZNC_KV_4_H4_G,327.1852,8.9433,28.0962,0.2733,0.192,0.1443,0,0,17.7807,,17.6364,6/30,C9,G,7/12,9/21,4,7.2,12,0,0.6665,0.5155,,,0.4093,0.0574,0.0091,0.0018,0.1774,0.0115,,,,,,,,,,,,,0.000605
HEVI_AZNC_KV_5_H4_G,143.8284,3.6567,11.4879,0.2542,0.073,0.1383,0,0,14.7438,,14.6055,7/3,A5,G,7/13,9/26,4,7,14,0,0.42,0.3741,,,0.3617,0.0461,0.005,0.0007,0.0576,0.0051,,,,,,,,,,,,,0.000605
HEVI_AZNC_KV_6_H3_G,37.9589,0.798,2.5069,0.2102,0.013,0.069,0.0856,0,0.7304,,0.5758,7/3,B11,G,7/20,8/14,3,1.8,4,2,0.0325,0.0192,0.0052,0.0037,0.0121,0.0028,0.002,0.0006,0.0141,0.0016,,,,,,,,,,,,,0.000605
HEVI_AZNC_KV_6_H3_O,32.738,0.6646,2.088,0.203,0.011,0.075,0.056,0,0.3461,,0.2151,7/3,A12,O,8/1,8/14,3,2.3,4,0,0.016,0.0109,,,0.0041,0.0014,0.0019,0.0007,0.0119,0.0007,,,,,,,,,,,,,0.000605
HEVI_AZNC_KV_8_H1_G,1.24,0.049,0.1539,0.395,0.002,0.0591,0.2346,0,0.2937,,0,7/3,B13,G,,7/14,1,0.9,0,2,0.0084,0.0064,0.0062,0.0001,,,0.0021,0.00003,0.0012,0.000145,,,,,,,,,,,,,0.000605
HEVI_AZNC_KV_9_H1_G,5.4227,0.1304,0.4096,0.2404,0.002,0.0702,0.299,0,0.3692,,0,7/3,B4,G,,7/14,1,1.5,0,2,0.0118,0.0083,0.0081,0.0001,,,0.0029,0.0001,0.0023,0.0000155,,,,,,,,,,,,,0.000605
HEVI_COSW_DE_1_H2_O,2.2598,0.051,0.1601,0.2255,0.001,0.0463,0.1587,0,0.2576,,0.0526,7/3,A8,O,7/18,7/27,2,1.2,2,2,0.0045,0.0034,0.002,0.0008,0.0003,0.0001,,0.00003,0.0003,0.00005,,,,,,,,,,,,,0.00043
HEVI_COSW_DE_11_H2_G,12.2431,0.3409,1.0709,0.2784,0.007,0.0329,0.1235,0,0.2229,,0.0665,7/26,E4,G,8/3,8/18,2,1.6,2,2,0.0068,0.0035,0.0003,0,0.0006,0.0002,0.0005,0.00003,,0.0004,,,,,,,,,,,,,0.00043
HEVI_COSW_DE_13_H3_O,41.6581,0.7728,2.4277,0.1855,0.011,0.0709,0.0971,0,1.7751,,1.6071,7/26,F5,O,8/2,9/6,3,3,7,1,0.048,0.0374,0.0012,0,0.0357,0.0043,0.0015,0.0001,0.0103,0.0006,,,,,,,,,,,,,0.00043
HEVI_COSW_DE_15_H3_G,39.2083,0.8946,2.8104,0.2282,0.016,0.0594,0.1769,0,1.7555,,1.5192,7/26,E10,G,8/3,9/6,3,2.9,6,2,0.0541,0.2258,,,0.0329,0.00399,,,0.694,0.0093,,,,,,,,,,,,,0.00043
HEVI_COSW_DE_16_H1_G,2.931,0.0685,0.2152,0.2337,0.001,0.0255,0.11,0,0.1355,,0,7/6,D1,G,,7/17,1,0.6,0,2,0.004,0.0015,0.0025,0.00012,0,0,0,0.00003,0.0012,0.00009,,,,,,,,,,,,,0.00043
HEVI_COSW_DE_17_H4_G,156.3416,3.621,11.3758,0.2316,0.066,,0,0.8897,10.6357,0.8897,9.746,7/26,F11,G,8/3,10/19,4,5.8,13,0,0.3532,0.2258,0.2484,0.0399,,,,,0.0694,0.0093,0.0166,0.0167,0.0028,,,,,,,,,,0.00043
HEVI_COSW_DE_18_H2_G,23.2963,0.5785,1.8173,0.2483,0.011,0.0744,0.2306,0,0.413,,0.108,7/26,H9,G,7/31,8/18,2,1.4,2,2,0.0057,0.0057,0.0008,0,0.0023,0,0.0018,0.00003,0.0032,0.00089,,,,,,,,,,,,,0.00043
HEVI_COSW_DE_18_H2_O,26.3835,0.5282,1.6593,0.2002,0.008,0.0713,0.1345,0,0.3289,,0.1231,7/26,H12,O,7/31,8/18,2,1.7,3,2,0.0157,0.0078,0.0021,0.000437,0.0025,,0.0015,0.0002,0.000252,0.000585,,,,,,,,,,,,,0.00043
HEVI_COSW_DE_3_H1_O,3.9427,0.102,0.3205,0.2587,0.002,0.0482,0.2819,0,0.3301,,0,7/3,D10,O,,7/14,1,1,0,2,0.0078,0.0053,0.0054,0.00038,,,0.0024,0.00003,0.0015,0.000108,,,,,,,,,,,,,0.00043
HEVI_COSW_DE_4_H4_O,133.6896,3.3287,10.4576,0.249,0.065,,0,1.9154,15.569,1.9154,13.6536,7/3,D9,O,7/25,9/25,4,6.6,12,0,0.3503,0.2778,,,0.1481,0.0408,,,0.0538,0.0062,0.0269,0.0315,0.0035,,,,,,,,,,0.00043
HEVI_COSW_DE_5_H1_O,5.2455,0.1164,0.3656,0.2219,0.002,0.047,0.2411,0,0.2881,,0,7/3,A4,O,,7/14,1,1.3,0,2,0.0085,0.0072,0.0055,0.00024,,,0.0023,0.00003,0.0013,0.000158,,,,,,,,,,,,,0.00043
HEVI_COSW_DE_6_H3_G,24.6604,0.6793,2.1341,0.2755,0.015,0.0497,0.18,0,0.4019,,0.1722,7/3,A3,G,7/8,8/14,3,1.6,4,2,0.0232,0.0148,0.0036,0.0008,0.0036,0.0009,0.0025,0.0006,0.0081,0.0007,,,,,,,,,,,,,0.00043
HEVI_COSW_DE_8_H4_O,498.9243,16.8579,52.9605,0.3379,0.447,,0,3.2883,35.0221,3.2883,31.7338,7/26,H4,O,8/3,10/19,4,7.8,18,0,1.3023,0.8268,,,0.8268,0.1475,,,0.372,0.0353,0.0674,0.0686,0.0114,,,,,,,,,,0.00043
HEVI_COSW_DE_9_H3_G,143.4428,3.0324,9.5266,0.2114,0.05,0.0583,0.1392,0,2.9755,,2.778,7/26,F2,G,8/3,9/6,3,3.4,8,1,0.1285,0.0738,0.0022,0,0.0652,0.0099,0.0019,0.00003,0.0556,0.0039,,,,,,,,,,,,,0.00043
HEVI_NMNW_NC_1_H2_G,11.5676,0.2359,0.7411,0.2039,0.004,0.0606,0.3618,0,0.6149,,0.1925,6/30,A2,G,7/12,7/24,2,2,1,2,0.021,0.0097,0.0047,0.003,0.0032,0.0005,0.0018,0.0003,0.0037,0.0012,,,,,,,,,,,,,0.00048
HEVI_NMNW_NC_1_H2_O,45.6981,0.9832,3.0888,0.2151,0.017,0.0422,0.2263,0,0.4052,,0.1367,6/30,B3,O,7/12,7/24,2,1.4,2,2,0.0481,0.0061,0.0035,0.0003,0.0022,0.0011,,,0.0129,0.001,,,,,,,,,,,,,0.00048
HEVI_NMNW_NC_12_H1_O,4.1674,0.1035,0.3251,0.2483,0.002,0.0502,0.1975,0,0.2477,,0,7/4,B2,O,,7/14,1,1.1,0,2,0.0058,0.0041,0.0029,0.000241,,,0.0004,0.00007,0.0017,0.000159,,,,,,,,,,,,,0.00048
HEVI_NMNW_NC_13_H3_O,29.1759,0.7469,2.3463,0.256,0.015,,0.1489,0,0.292,,0.1431,7/6,F2,O,8/3,8/18,3,1.3,3,2,0.0186,0.0055,0.0001,0,0.001,0.0008,0,0,0.0098,0.0012,,,,,,,,,,,,,0.00048
HEVI_NMNW_NC_14_H3_O,45.9078,1.1045,3.4698,0.2406,0.021,0.0487,0.1638,0,0.5887,,0.3762,7/6,F6,O,7/31,8/18,3,1.8,4,2,0.0382,0.0095,0.0009,0,0.008,0.0013,0,0,0.0152,0.001,,,,,,,,,,,,,0.00048
HEVI_NMNW_NC_16_H4_O,116.7823,2.7277,8.5692,0.2336,0.05,0.1172,0,18.5079,25.5054,18.5079,6.8803,7/6,H9,O,7/31,9/29,4,5.6,7,1,0.1725,0.1339,0.002,0,0.1256,0.0177,0.0015,0,0.0363,0.0032,,,,,,,,,,,,,0.00048
HEVI_NMNW_NC_17_H1_O,3.5141,0.0848,0.2664,0.2413,0.002,0.0306,0.1222,0,0.1838,,0.031,7/26,H6,O,8/4,8/4,1,0.7,2,2,0.004,0.0031,0.0045,0.0004,0,0,0.0022,0.001,0.0016,0.00005,,,,,,,,,,,,,0.00048
HEVI_NMNW_NC_18_H2_O,25.3273,0.5113,1.6063,0.2019,0.008,0.0353,0.1387,0,0.3232,,0.1492,7/26,H5,O,8/7,8/18,2,1.3,3,2,0.0135,0.006,0.0011,0,0.0031,0.0004,0.0009,0,0.007,0.0006,,,,,,,,,,,,,0.00048
HEVI_NMNW_NC_20_H4_G,1127.2074,38.1455,119.8375,0.3384,1.014,,0,3.1001,40.3732,3.1001,37.2731,7/26,G2,G,8/9,10/19,4,8.1,21,0,1.8285,0.974,,,0.974,0.2075,,,0.7266,0.095,0.0629,0.0653,0.0124,,,,,,,,,,0.00048
HEVI_NMNW_NC_3_H3_G,49.9995,1.0205,3.2059,0.2041,0.016,0.0774,0.2107,0,0.646,,0.3579,6/30,D9,G,7/19,8/11,3,2.2,5,2,0.00277,0.0122,0.0045,0.0027,0.0075,0.004,0.0026,0.0018,0.0127,0.0025,,,,,,,,,,,,,0.00048
HEVI_NMNW_NC_4_H4_G,84.9811,1.8435,5.7917,0.2169,0.031,0.1176,0,0,13.9549,,13.8373,6/30,D8,G,7/19,9/21,4,5.5,13,0,0.4149,0.3171,,,0.2971,0.0378,0.014,0.0018,0.0549,0.0058,,,,,,,,,,,,,0.00048
HEVI_NMNW_NC_5_H3_G,18.4117,0.4051,1.2728,0.22,0.007,0.0475,0,0,0.0475,,0,7/3,A1,G,7/14,8/14,3,1.6,3,0,0.0102,0.0049,,,0.0057,0.0011,0.0029,0.0018,0.0036,0.0004,,,,,,,,,,,,,0.00048
HEVI_NMNW_NC_5_H3_O,11.5182,0.2343,0.7362,0.2035,0.004,0.081,0,0,0.2408,,0.1598,7/3,C12,O,7/14,8/14,3,1.4,4,0,0.0188,0.0059,,,0.0059,0.0013,0.0031,0.0011,0.0083,0.0021,,,,,,,,,,,,,0.00048
HEVI_NMNW_NC_6_H1_O,3.2776,0.0838,0.2633,0.2557,0.002,0.0737,0.2103,0,0.284,,0,7/3,B9,O,,7/14,1,1.5,0,2,0.0062,0.005,0.0062,0.0005,0.0028,0.0002,0.033,0,0.001,0.0001,,,,,,,,,,,,,0.00048
HEVI_NMNW_NC_7_H2_O,1.2982,0.0413,0.1299,0.3185,0.001,0.045,0.1678,0,0.257,,0.0442,7/3,A4,O,7/20,2/27,2,1.2,2,2,0.0049,0.0041,0.0031,0.00006,0.0012,0,0.000215,0.00005,0.0005,0.000043,,,,,,,,,,,,,0.00048
HEVI_NMNW_NC_8_H4_O,204.1922,4.5753,14.3738,0.2241,0.081,0.0819,0,1.5175,15.3728,1.5175,13.7734,7/3,C4,O,7/20,9/25,4,7.4,14,0,0.397,0.291,,,0.2057,0.2057,0.002,0.0004,0.0544,0.0055,0.0227,0.0237,0.0031,,,,,,,,,,0.00048
HEVI_NMNW_ND_1_H3_G,38.2592,0.9066,2.8482,0.237,0.017,0.0327,0.1458,0,0.1785,,0,6/30,A5,G,7/21,8/11,3,1.5,3,2,0.0185,0.0058,0.0027,0.0006,0.0044,0.0009,0.0017,0.0005,0.011,0.0024,,,,,,,,,,,,,0.0004075
HEVI_NMNW_ND_1_H3_O,43.0703,0.9593,3.0139,0.2227,0.017,0.0468,0.1112,0,0.6396,,0.4816,6/30,C10,O,7/12,8/11,3,2.6,3,2,0.0257,0.0116,0.0041,0.0018,0.0024,0.0014,0.0016,0,0.0117,0.0023,,,,,,,,,,,,,0.0004075
HEVI_NMNW_ND_10_H3_G,32.7532,0.7123,2.2377,0.2175,0.012,0.0417,0,0,0.9277,,0.886,7/26,F7,G,8/7,9/6,3,2.7,5,0,0.0293,0.0202,,,0.0193,0.0017,0.0011,0,0.0094,0.0008,,,,,,,,,,,,,0.0004075
HEVI_NMNW_ND_11_H3_G,21.3707,0.4574,1.437,0.214,0.008,0.0604,0.0444,0,1.8525,,1.7477,7/26,E3,G,8/8,9/6,3,3.9,5,1,0.0425,0.0355,0.0004,0,0.0269,0.0033,0.0019,0,0.0057,0.0007,,,,,,,,,,,,,0.0004075
HEVI_NMNW_ND_12_H1_G,12.0118,0.3027,0.9511,0.252,0.006,0.0718,0.2153,0.0331,0.3202,0.0331,0,7/26,F10,G,8/3,8/4,1,1.5,1,3,0.0105,0.0079,0.0097,0.0007,0,0,0.0025,0,0.0029,0.0005,,,,,,,,,,,,,0.0004075
HEVI_NMNW_ND_14_H2_G,25.3288,0.5539,1.7403,0.2187,0.01,0.0467,0.1408,0,0.3021,,0.1146,7/26,G4,G,8/4,8/18,2,1.4,2,2,0.015,0.0057,0.0021,0.0006,0.0026,0.0005,0.0014,0,0.008,0.0011,,,,,,,,,,,,,0.0004075
HEVI_NMNW_ND_14_H2_O,31.8818,0.7054,2.2161,0.2213,0.012,0.0456,0.1587,0,0.3511,,0.1468,7/26,G9,O,8/4,8/18,2,1.7,3,2,0.0183,0.0069,0,,0,0,0,0,0.0082,0.0008,,,,,,,,,,,,,0.0004075
HEVI_NMNW_ND_15_H4_O,112.7264,3.6983,11.6186,0.3281,0.095,,0,0,7.9349,,7.9349,7/26,G10,O,8/7,10/19,4,4.5,28,0,0.4033,0.2759,,,0.2749,0.0467,,,0.0667,0.0077,,,,,,,,,,,,,0.0004075
HEVI_NMNW_ND_16_H1_G,6.4081,0.1706,0.536,0.2663,0.004,0.0487,0.1296,0,0.1783,,0,7/26,G2,G,8/1,8/4,1,0.9,1,2,0.0049,0.0035,0.0021,0.000295,0,0,0.0016,0.00007,0,0.000137,,,,,,,,,,,,,0.0004075
HEVI_NMNW_ND_18_H4_G,997.7472,38.3861,120.5935,0.3847,1.16,0.5084,0,4.0795,49.3509,4.0795,44.763,7/26,H4,G,8/4,10/19,4,11.1,15,0,3.2171,2.2004,,,0.7414,0.2648,0.0646,0.0178,1.0715,0.0961,0.116,0.1155,0.0158,,,,,,,,,,0.0004075
HEVI_NMNW_ND_19_H4_G,2076.5837,74.4085,233.7612,0.7159,2.15,,0,4.9489,68.2818,4.9489,63.3329,7/26,H9,G,8/4,10/25,4,12.1,65,0,4.4525,2.4856,,,2.4856,0.3571,0.0236,,1.5881,0.1381,0.1391,0.1466,0.0152,,,,,,,,,,0.0004075
HEVI_NMNW_ND_2_H1_O,4.8853,0.1855,0.5826,0.3796,0.006,0.0898,0.1787,0,0.2685,,0,7/26,E4,O,8/3,8/4,1,1.5,2,2,0.0123,0.0068,0.0058,0.00044,0,0,0.0034,0.00019,0.0026,0.000242,,,,,,,,,,,,,0.0004075
HEVI_NMNW_ND_4_H4_G,67.8512,1.8475,5.8041,0.2723,0.04,0.1617,0,0,7.7766,,7.6149,6/30,A3,G,7/21,9/21,4,6.8,7,0,0.2707,0.2086,,,0.2006,0.028,0.0069,0.0012,0.0353,0.0033,,,,,,,,,,,,,0.0004075
HEVI_NMNW_ND_6_H2_G,29.2833,0.8157,2.5626,0.2786,0.018,0.0811,0.2348,0,0.4657,,0.1498,7/26,F12,G,8/3,8/18,2,1.9,2,2,0.0229,0.0095,0.0036,0.0009,0.0035,0.0008,0.0034,0.0005,0.0135,0.0011,,,,,,,,,,,,,0.0004075
HEVI_NMNW_ND_6_H2_O,10.117,0.2035,0.6393,0.2011,0.003,0.1497,0,0,0.1767,,0.027,7/26,F6,O,8/8,8/18,2,1.2,2,2,0.0058,0.0044,0.002,0.00005,0.002,0.0004,0.0011,0.00009,0.0018,0.000147,,,,,,,,,,,,,0.0004075
HEVI_NMNW_ND_8_H1_O,3.3823,0.0947,0.2976,0.2801,0.002,0.0482,0.1073,0,0.1555,,0,7/26,E2,O,,8/4,1,1,0,2,0.0036,0.0027,0.0007,0.0002,,,0.0009,0.00009,0.0016,0.000105,,,,,,,,,,,,,0.0004075
