SAMPLE_ID,SumOfLength(cm),SumOfProjArea(cm2),SumOfSurfArea(cm2),SumOfAvgDiam(mm),SumOfRootVolume(cm3),STEM,COTS_TOTAL,LEAF_TOTAL,Total Of PROJ_AREA_AG,LEAF,LEAVES_TOTAL,TRANSP_DATE,GERM_ID,COLOR,TLD,HD,H_num,HT,L_num,C_num,PWF,L+SFW,CWS,CWD,LWS,LWD,SWS,SWD,RWF,RWD,LWF_A,LWS_A,LWD_A,LWF_B,LWS_B,LWD_B,BWF_A,BWS_A,BWD_A,SWF_A,SWD_A,NOTES,AVG_SEED_WEIGHT
MACA_NMNW_CU_1_H1_O,2.4653,0.0494,0.1553,0.2005,0.001,,0.0584,0,0.0584,,0,26-Jul,H2,O,,4-Aug,1,1.3,,2,0.0026,0.0025,0.003,0.0002007,,,0.0014,0,0.0012,0.00006532,,,,,,,,,,,,,0.000225
MACA_NMNW_CU_10_H4_G,1369.0876,40.2621,126.4871,0.2941,0.93,,0,8.25,8.25,8.25,0,26-Jul,E11,G,7-Aug,19-Oct,4,9.9,14,,2.237,0.8598,,,0.8598,0.1426,,,1.1071,0.108,0.1002,0.1067,0.0163,,,,,,,,,,0.000225
MACA_NMNW_CU_11_H1_G,1.2937,0.0443,0.139,0.3421,0.001,,0.0544,0,0.0544,,0,6-Jul,A12,G,,17-Jul,1,0.6,,2,0.0029,0.0016,0.0028,0.0001675,,0.0002913,0.001,0.0000437,0.0005,0.0001174,,,,,,,,,,,,,0.000225
MACA_NMNW_CU_12_H2_G,34.5015,0.886,2.7833,0.2568,0.018,,0.1939,0,0.7767,,0.5828,28-Jul,E6,G,7-Aug,22-Aug,2,3.4,5,2,0.036,0.0186,0.0024,0.0005,0.0115,0.0016,0.0013,,0.0179,0.0016,,,,,,,,,,,,,0.000225
MACA_NMNW_CU_12_H2_O,17.3747,0.4675,1.4687,0.2691,0.01,,0.106,0,0.4289,,0.3229,28-Jul,E7,O,7-Aug,22-Aug,2,3.8,4,2,0.0197,0.0111,0.0009,0.0006,0.0059,0.0009,0.001,,0.0087,0.0006,,,,,,,,,,,,,0.000225
MACA_NMNW_CU_16_H1_O,1.2886,0.0283,0.089,0.2198,0,,0.1194,0,0.1849,,0.0655,31-Jul,E1,O,9-Aug,10-Aug,1,2,2,2,0.0064,0.0058,0.0037,0.0013,0.0012,0.0008,0.0011,0.0004,0.0006,0.00005,,,,,,,,,,,,,0.000225
MACA_NMNW_CU_17_H4_O,3524.0641,130.4299,409.7577,0.7508,3.845,,0,2.4491,2.4491,2.4491,0,31-Jul,F6,O,8-Aug,23-Oct,4,16.1,34,6.901,2.962,,,,0.624,0.624,0.6466,0.1381,3.4828,0.4301,0.0569,0.0737,0.0113,,,,,,,,,,0.000225
MACA_NMNW_CU_2_H2_G,20.2235,0.3466,1.0888,0.1714,0.005,,0.085,0,0.3259,,0.2409,26-Jul,F8,G,3-Aug,18-Aug,2,2.8,4,2,0.0124,0.0093,,,0.0046,0.0007,0.0015,,0.0033,0.0001,,,,,,,,,,,,,0.000225
MACA_NMNW_CU_2_H2_O,0.3432,0.0072,0.0225,0.2084,0,,0.2408,0,0.3851,,0.1443,26-Jul,E2,O,7-Aug,18-Aug,2,2,4,2,0.0151,,,,0.003,0.0008,,,0.005,0.0001,,,,,,,,,,,,,0.000225
MACA_NMNW_CU_3_H3_G,131.2198,3.3526,10.5325,0.2555,0.067,,0,0,3.1267,,3.1267,26-Jul,F1,G,7-Aug,6-Sep,3,5.6,8,,0.1488,0.0815,,,0.0721,0.0099,0.0076,0.0012,0.0633,0.005,,,,,,,,,,,,,0.000225
MACA_NMNW_CU_4_H4_G,2854.5693,100.0907,314.4441,0.7214,2.799,,0,6.1038,6.1038,6.1038,0,26-Jul,E3,G,2-Aug,19-Oct,4,15,23,,5.5528,2.1771,,,2.1771,0.3827,,,3.1806,0.2714,0.1923,0.1923,0.0321,,,,,,,,,,0.000225
MACA_NMNW_CU_6_H3_G,37.9214,0.8775,2.7568,0.2314,0.016,,0,0,0.8646,,0.8646,26-Jul,F12,G,7-Aug,6-Sep,3,3.8,7,,0.0342,0.0208,,,0.019,0.0018,0.0009,0,0.0131,0.0009,,,,,,,,,,,,,0.000225
