SAMPLE_ID,SumOfLength(cm),SumOfProjArea(cm2),SumOfSurfArea(cm2),SumOfAvgDiam(mm),SumOfRootVolume(cm3),STEM,COTS_TOTAL,LEAF_TOTAL,Total Of PROJ_AREA_AG,LEAF,LEAVES_TOTAL,TRANSP_DATE,GERM_ID,COLOR,TLD,HD,H_num,HT,L_num,C_num,PWF,L+SFW,CWS,CWD,LWS,LWD,SWS,SWD,RWF,RWD,LWF_A,LWS_A,LWD_A,LWF_B,LWS_B,LWD_B,BWF_A,BWS_A,BWD_A,SWF_A,SWD_A,NOTES,AVG_SEED_WEIGHT
MUPO_AZSE_BRR_11_H3_O,103.6258,4.0716,12.7914,0.3929,0.126,,0,0,2.5604,,2.5604,27-Jul,B10,O,,7-Sep,3,13.2,6,,0.1796,0.0768,,,0.0705,0.0108,,,0.1123,0.0122,,,,,,,,,,,,,
MUPO_AZSE_BRR_12_H3_G,265.5135,7.4789,23.4957,0.2817,0.165,,0,0,4.2049,,4.2049,27-Jul,B11,G,,7-Sep,3,17.8,4,,0.3114,0.1086,,,0.1058,0.0197,,,0.1845,0.0214,,,,,,,,,,,,,
MUPO_AZSE_BRR_17_H4_O,2950.1897,131.6364,413.5481,0.4462,4.613,,0,0,1.9491,,1.9491,10-Aug,E9,O,,3-Nov,4,47,21,,4.727,4.727,,,4.727,0.9511,,,3.8448,0.5066,0.0183,0.0183,0.0036,,,,,,,,,,
MUPO_AZSE_BRR_18_H2_G,10.1424,0.1993,0.6262,0.1965,0.003,,0,0,0.0504,,0.0504,10-Aug,E2,G,,4-Sep,2,1.8,3,,0.0069,0.0034,,,0.0033,0.000484,,,0.0023,0.0004625,,,,,,,,,,,,,
MUPO_AZSE_BRR_19_H4_G,1933.427,84.0766,264.1344,0.4349,2.872,,0,0,2.1445,,2.1445,10-Aug,F2,G,,3-Nov,4,46,95,,7.1774,4.4681,,,4.4681,0.8241,,,2.3622,0.4315,0.0196,0.0197,0.0038,,,,,,,,,,
MUPO_AZSE_BRR_2_H1_G,0.952,0.0152,0.0479,0.16,0,,0,0,0.0455,,0.0455,24-Jul,B3,G,,3-Aug,1,3.9,1,,0.0021,0.0018,,,0.0009,0.0003,,,,0.00005,,,,,,,,,,,,,
MUPO_AZSE_BRR_2_H1_O,5.1226,0.0679,0.2132,0.1325,0.001,,0,0,0.0461,,0.0461,24-Jul,C11,O,,3-Aug,1,3.5,1,,0.0027,0.0016,,,0.0006,0.0002,,,0.001,0.00023,,,,,,,,,,,,,
MUPO_AZSE_BRR_3_H2_G,48.1952,0.9125,2.8668,0.1893,0.014,,0,0,0.647,,0.647,24-Jul,B8,G,,18-Aug,2,10.3,4,,0.0381,0.019,,,0.008,0.0021,0.0062,0.0006,0.0141,0.0012,,,,,,,,,,,,,
MUPO_AZSE_BRR_4_H4_G,3009.5285,83.8022,263.2724,0.5188,1.908,,0,4.0339,4.0339,,0,24-Jul,C1,G,,16-Oct,4,69.2,100,,5.6091,3.1054,,,2.5902,0.6096,,,2.1274,0.2727,0.0329,0.0465,0.00658,0.0232,0.0269,0.0042,,,,,,,
MUPO_AZSE_BRR_5_H1_G,1.829,0.0424,0.1332,0.2318,0.001,,0,0,0.0015,,0.0015,27-Jul,A1,G,,7-Aug,1,3.5,1,,0.0013,0.0008,,,0.001,0.000227,,,0.0001,0.000112,,,,,,,,,,,,,
MUPO_AZSE_BRR_5_H1_O,1.7207,0.029,0.091,0.1684,0,,0,0,0.0436,,0.0436,27-Jul,A3,O,,7-Aug,1,3.5,1,,0.0016,0.001,,,0.001,0.0004,,,0.0001,0.00009,,,,,,,,,,,,,
MUPO_AZSE_BRR_7_H3_G,215.9261,8.0695,25.351,0.3737,0.237,,0,0,8.212,,8.212,27-Jul,A7,G,,7-Sep,3,22.6,6,,0.493,0.2161,,,0.2391,0.0344,,,0.2579,0.0288,,,,,,,,,,,,,
MUPO_AZSE_BRR_9_H2_G,31.1383,0.8347,2.6222,0.2681,0.018,,0,0,0.5424,,0.5424,27-Jul,B2,G,,22-Aug,2,6.6,4,,0.0345,0.0171,,,0.0143,0.0018,,,0.0168,0.0013,,,,,,,,,,,,,
MUPO_AZSE_MRR_10_H2_G,12.3959,0.2541,0.7984,0.205,0.004,,0,0,0.8012,,0.8012,28-Jul,A3,G,,22-Aug,2,8.1,4,,0.0284,0.0207,,,0.0136,0.002,,,0.0059,0.0005,,,,,,,,,,,,,
