SAMPLE_ID,SumOfLength(cm),SumOfProjArea(cm2),SumOfSurfArea(cm2),SumOfAvgDiam(mm),SumOfRootVolume(cm3),STEM,COTS_TOTAL,LEAF_TOTAL,Total Of PROJ_AREA_AG,LEAF,LEAVES_TOTAL,TRANSP_DATE,GERM_ID,COLOR,TLD,HD,H_num,HT,L_num,C_num,PWF,L+SFW,CWS,CWD,LWS,LWD,SWS,SWD,RWF,RWD,LWF_A,LWS_A,LWD_A,LWF_B,LWS_B,LWD_B,BWF_A,BWS_A,BWD_A,SWF_A,SWD_A,NOTES,AVG_SEED_WEIGHT
PAMU_AZNC_WMR_1_H1_B,4.7567,0.1057,0.332,0.2222,0.002,,0,0,0.0511,,0.0511,8/7,E11,B,,8/18,1,0.7,,2,0.0028,0.0014,0,0,,,0,0,0.0017,0.00005,,,,,,,,,,,,,0.0004925
PAMU_AZNC_WMR_1_H1_R,6.5703,0.1768,0.5556,0.2692,0.004,,0,0,0.1384,,0.1384,8/7,H5,R,,8/18,1,0.7,,2,0.0056,0.0028,0.0019,0.0006,,,0.0004,,0.0036,0.00005,,,,,,,,,,,,,0.0004925
PAMU_AZNC_WMR_10_H4_B,5232.3279,186.0228,584.4078,1.0724,5.21,,0,12.3492,12.3492,,0,8/18,G1,B,8/28,11/20,4,13.3,68,,,7.5139,,,7.341,1.006,0.2029,0.035,3.4321,0.2857,0.1424,0.14,0.0211,0.3098,0.3255,0.0415,,,,,,,0.0004925
PAMU_AZNC_WMR_11_H4_R,1492.2641,62.6756,196.9011,0.42,2.067,,0,12.6452,12.6452,,0,8/18,H12,R,,11/14,4,9,19,,4.8602,2.4802,,,2.2917,0.2908,,,2.132,0.1274,,0.1359,0.0178,,0.2381,0.0285,,,,,,,0.0004925
PAMU_AZNC_WMR_2_H2_B,12.8537,0.2641,0.8298,0.2055,0.004,,0,0,0.1629,,0.1629,8/7,H8,B,8/31,9/1,2,0.4,,2,0.0071,0.0032,0.0013,0.0001,,,0.0011,,0.0033,0.000134,,,,,,,,,,,,,0.0004925
PAMU_AZNC_WMR_2_H2_R,12.5704,0.2978,0.9357,0.2369,0.006,,0,0,0.3104,,0.3104,8/7,H9,R,8/31,9/1,2,0.0111,,2,0.0111,0.0063,0.0005,0.00005,,,0.0007,,0.0042,0.000182,,,,,,,,,,,,,0.0004925
PAMU_AZNC_WMR_3_H1_B,7.3198,0.1998,0.6277,0.273,0.004,,0,0,0.0749,,0.0749,8/10,E7,B,,8/22,1,0.7,,2,0.0056,0.0021,0.0002,0.00006,,,0,0,0.0034,0.0005,,,,,,,,,,,,,0.0004925
PAMU_AZNC_WMR_3_H1_R,3.9199,0.1134,0.3564,0.2894,0.003,,0,0,0.0868,,0.0868,8/10,F5,R,,8/22,1,1,,2,0.0051,0.0035,0.008,0.0001,,,,,0.0019,0.0004,,,,,,,,,,,,,0.0004925
PAMU_AZNC_WMR_5_H3_R,18.7143,0.3341,1.0497,0.1785,0.005,,0,0,1.2572,,1.2572,8/10,F12,R,8/28,9/21,3,2.2,4,2,0.0312,0.0261,0.0021,0,0.02,0.0021,0.0023,0,0.0058,0.0004,,,,,,,,,,,,,0.0004925
PAMU_AZNC_WMR_6_H3_B,31.5949,0.7845,2.4646,0.2483,0.015,,0,0,1.5297,,1.5297,8/10,F3,B,8/31,9/21,3,2.1,3,2,0.0627,0.0408,0.0062,0.0006,0.0333,0.0025,0.0017,0,0.017,0.0007,,,,,,,,,,,,,0.0004925
