SAMPLE_ID,SumOfLength(cm),SumOfProjArea(cm2),SumOfSurfArea(cm2),SumOfAvgDiam(mm),SumOfRootVolume(cm3),STEM,COTS_TOTAL,LEAF_TOTAL,Total Of PROJ_AREA_AG,LEAF,LEAVES_TOTAL,TRANSP_DATE,GERM_ID,COLOR,TLD,HD,H_num,HT,L_num,C_num,PWF,L+SFW,CWS,CWD,LWS,LWD,SWS,SWD,RWF,RWD,LWF_A,LWS_A,LWD_A,LWF_B,LWS_B,LWD_B,BWF_A,BWS_A,BWD_A,SWF_A,SWD_A,NOTES,AVG_SEED_WEIGHT
PLPA_AZC_TC_10_H2_G,28.2615,0.8481,2.6643,0.3001,0.02,,0,0,1.5734,,1.5734,9/28,E7,G,10/5,10/23,2,4,3,2,0.0292,0.0211,,,0.0092,0.0026,0.0022,0,0.0094,0.0009,,,,,,,,,,,,"extra roots fresh = 0.0514, extra roots dry = 0.0026",0.00162
PLPA_AZC_TC_10_H2_O,118.2745,3.9595,12.439,0.6359,0.104,,0,0,1.3432,,1.3432,9/28,F1,O,10/5,10/23,2,3.6,3,2,0.0336,0.0263,,,0.024,0.0028,0.0025,0,0.0075,0.0005,,,,,,,,,,,,,0.00162
PLPA_AZC_TC_17_H3_G,83.7734,2.665,8.3724,0.3181,0.067,,0,0,4.0657,,4.0657,10/2,E3,G,10/9,11/15,3,7.5,5,0,,0.099,,,0.0956,0.0096,,,0.0301,0.0026,,,,,,,,,,,,,0.00162
PLPA_AZC_TC_19_H4_G,,,,,,,0,2.4519,2.4519,,0,10/2,F2,G,10/9,12/26,4,15.5,120,0,,5.5911,,,5.5911,0.9694,,,,,0.0346,0.0356,0.0039,0.025,0.0277,0.0028,,,,,,Still need roots data (roots not cleaned yet 1/8/18),0.00162
PLPA_AZC_TC_2_H1_G,27.7342,0.9482,2.9789,0.3419,0.025,,0,0,0.9867,,0.9867,8/15,A8,G,8/23,8/25,1,4.8,2,2,0.0357,0.0179,,,0.0192,0.0018,,,0.0136,0.0008,,,,,,,,,,,,,0.00162
PLPA_AZC_TC_2_H1_O,26.8576,0.8731,2.7429,0.3251,0.022,,0,0,0.5296,,0.5296,8/15,A9,O,8/23,8/25,1,3.5,2,2,0.0232,0.0098,,,,0.0011,,,0.0124,0.001,,,,,,,,,,,,,0.00162
PLPA_AZC_TC_3_H1_G,15.791,0.6055,1.9022,0.3834,0.018,,0,0,0.5012,,0.5012,8/15,B1,G,8/23,8/25,1,2.2,1,2,0.0196,0.0098,,,0.0113,0.0004,,,0.0085,0.0003,,,,,,,,,,,,Maybe a mix-up between cones 3 and 1? See datasheet,0.00162
PLPA_AZC_TC_3_H1_O,26.8939,0.8711,2.7367,0.3239,0.022,,0,0,0.9651,,0.9651,8/15,B2,O,8/23,8/25,1,3.2,1,2,0.0373,0.0203,,,0.0114,0.0011,,,0.0126,0.001,,,,,,,,,,,,Maybe a mix-up between cones 3 and 1? See datasheet,0.00162
PLPA_AZC_TC_4_H2_O,67.5469,2.1452,6.7395,0.3176,0.054,,0,0,4.1634,,4.1634,8/15,B6,O,8/23,9/10,2,10.4,5,1,0.1519,0.1179,0.0103,0.0013,0.0914,0.0087,0.0037,0.0002,0.0251,0.0013,,,,,,,,,,,,,0.00162
PLPA_AZC_TC_5_H3_G,384.0901,12.8094,40.2418,0.3335,0.336,,0,2.2416,15.7589,2.2416,13.5173,8/15,B8,G,8/23,9/26,3,13.5,10,2,0.878,0.5544,,,0.5523,0.0711,,,0.1825,0.0161,0.09,0.0935,0.0104,,,,,,,,,,0.00162
