RHIZO 2016a	Operator	Analysis Date Time	ImageFileName	ImageAcqDeviceAndSoftwareInfo DateTimeModified	AnalysedRegionArea(cm2)	AnalysedRegionWidth(cm)	AnalysedRegionHeight(cm)	Left Top Right Bottom  NExclusions	DevOrder Criteria	ImgType CalibMeth TPU Units PxSizeH PxSizeV [CalFile]	PxClassif	Filters	Fractal PxMin PxMax	SoilVol(m3)	Length(cm)	RatioHypLeafToRootLen	ProjArea(cm2)	RatioHypLeafToRootArea	SurfArea(cm2)		AvgDiam(mm)		LenPerVol(cm/m3)		RootVolume(cm3)	FractalDimension	FractalDeviation	Tips	Forks	Crossings	NofLinks	Altitude	ExternalPathLength	LinkAvgLength(cm)	LinkAvgProjArea(cm2)	LinkAvgSurfArea(cm2)	LinkAvgDiam(mm)	LinkAvgBrAngle(deg)	NofNodules	HypocotylLeafArea	HypocotylLeafLength	NAxis	Main NAxis	Main TotLength	Lateral NAxis	Lateral TotLength	Tertiary NAxis	Tertiary TotLength	NSeedlings	NumberOfClasses	ClassBoundaries	0<.L.<=0.5000000	0.5000000<.L.<=1.0000000	1.0000000<.L.<=1.5000000	1.5000000<.L.<=2.0000000	2.0000000<.L.<=2.5000000	2.5000000<.L.<=3.0000000	3.0000000<.L.<=3.5000000	3.5000000<.L.<=4.0000000	4.0000000<.L.<=4.5000000	.L.>4.5000000	0<.SA.<=0.5000000	0.5000000<.SA.<=1.0000000	1.0000000<.SA.<=1.5000000	1.5000000<.SA.<=2.0000000	2.0000000<.SA.<=2.5000000	2.5000000<.SA.<=3.0000000	3.0000000<.SA.<=3.5000000	3.5000000<.SA.<=4.0000000	4.0000000<.SA.<=4.5000000	.SA.>4.5000000	0<.PA.<=0.5000000	0.5000000<.PA.<=1.0000000	1.0000000<.PA.<=1.5000000	1.5000000<.PA.<=2.0000000	2.0000000<.PA.<=2.5000000	2.5000000<.PA.<=3.0000000	3.0000000<.PA.<=3.5000000	3.5000000<.PA.<=4.0000000	4.0000000<.PA.<=4.5000000	.PA.>4.5000000	0<.V.<=0.5000000	0.5000000<.V.<=1.0000000	1.0000000<.V.<=1.5000000	1.5000000<.V.<=2.0000000	2.0000000<.V.<=2.5000000	2.5000000<.V.<=3.0000000	3.0000000<.V.<=3.5000000	3.5000000<.V.<=4.0000000	4.0000000<.V.<=4.5000000	.V.>4.5000000	0<.T.<=0.5000000	0.5000000<.T.<=1.0000000	1.0000000<.T.<=1.5000000	1.5000000<.T.<=2.0000000	2.0000000<.T.<=2.5000000	2.5000000<.T.<=3.0000000	3.0000000<.T.<=3.5000000	3.5000000<.T.<=4.0000000	4.0000000<.T.<=4.5000000	.T.>4.5000000
ELTR_CONC_WR_13_LANA	DKEYES	11/11/19 13:04	"ELTR_WR_13_NMNW_31,33, 35-37_FS_23-24_SL_25_PRY_30-32_LEAF.tif"	Regent Instruments Inc.  WinRHIZO Reg 2016a 	7.6368	5.521	1.5993	573 5247 1440 5499  0	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-75	Smooth Off Area Off LWRatio Off	Off	1	0		0.2668		0		0		0		0			0	0	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 																																																		
ELTR_CONC_WR_15_LANA	DKEYES	11/11/19 13:36	ELTR_CULT_RV_38-39_UTSW_DNF_15_CONC_WR_15-17_LEAF.tif	Regent Instruments Inc.  WinRHIZO Reg 2016a 	6.1985	1.9358	4.7979	1204 1456 1508 2212  0	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-75	Smooth Off Area Off LWRatio Off	Off	1	0		0.1318		0		0		0		0			0	0	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 																																																		
ELTR_CONC_WR_16_LANA	DKEYES	12/1/19 9:01	ELTR_CULT_RV_38-39_UTSW_DNF_15_CONC_WR_15-17_LEAF_ANALYSES.TIF	Regent Instruments Inc.  WinRHIZO Reg 2016a 	11.841	2.2924	7.2603	2136 1100 2496 2244  0	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-75	Smooth Off Area Off LWRatio Off	Off	1	0		0.5226		0		0		0		0			0	0	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 																																																		
ELTR_CONC_WR_17_LANA	DKEYES	12/1/19 9:01	ELTR_CULT_RV_38-39_UTSW_DNF_15_CONC_WR_15-17_LEAF_ANALYSES.TIF	Regent Instruments Inc.  WinRHIZO Reg 2016a 	12.9597	2.2924	6.4479	2928 1220 3288 2236  0	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-75	Smooth Off Area Off LWRatio Off	Off	1	0		0.551		0		0		0		0			0	0	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 																																																		
ELTR_CONC_WR_18_LANA	DKEYES	11/11/19 13:27	ELTR_CULT_FS_27-29_RV_29-33_CONC_WR_18-23_UTC_TMC_29_UTSW_DNF_17-18_LEAF.tif	Regent Instruments Inc.  WinRHIZO Reg 2016a 	7.5477	6.2405	1.5993	1656 3376 2636 3628  0	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-75	Smooth Off Area Off LWRatio Off	Off	1	0		0.3085		0		0		0		0			0	0	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 																																																		
ELTR_CONC_WR_19_LANA	DKEYES	11/11/19 13:27	ELTR_CULT_FS_27-29_RV_29-33_CONC_WR_18-23_UTC_TMC_29_UTSW_DNF_17-18_LEAF.tif	Regent Instruments Inc.  WinRHIZO Reg 2016a 	7.1816	7.7688	2.3101	1680 2804 2900 3168  0	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-75	Smooth Off Area Off LWRatio Off	Off	1	0		0.6474		0		0		0		0			0	0	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 																																																		
ELTR_CONC_WR_20_LANA	DKEYES	11/11/19 13:27	ELTR_CULT_FS_27-29_RV_29-33_CONC_WR_18-23_UTC_TMC_29_UTSW_DNF_17-18_LEAF.tif	Regent Instruments Inc.  WinRHIZO Reg 2016a 	11.4282	7.2594	2.6147	1660 2208 2800 2620  0	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-75	Smooth Off Area Off LWRatio Off	Off	1	0		0.6079		0		0		0		0			0	0	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 																																																		
ELTR_CONC_WR_21_LANA	DKEYES	11/11/19 13:27	ELTR_CULT_FS_27-29_RV_29-33_CONC_WR_18-23_UTC_TMC_29_UTSW_DNF_17-18_LEAF.tif	Regent Instruments Inc.  WinRHIZO Reg 2016a 	6.9597	6.2915	1.8024	2880 3588 3868 3872  0	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-75	Smooth Off Area Off LWRatio Off	Off	1	0		0.3165		0		0		0		0			0	0	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 																																																		
ELTR_CONC_WR_22_LANA	DKEYES	11/11/19 13:27	ELTR_CULT_FS_27-29_RV_29-33_CONC_WR_18-23_UTC_TMC_29_UTSW_DNF_17-18_LEAF.tif	Regent Instruments Inc.  WinRHIZO Reg 2016a 	5.8361	4.6868	1.777	3208 2860 3944 3140  0	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-75	Smooth Off Area Off LWRatio Off	Off	1	0		0.3313		0		0		0		0			0	0	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 																																																		
ELTR_CONC_WR_23_LANA	DKEYES	11/11/19 13:27	ELTR_CULT_FS_27-29_RV_29-33_CONC_WR_18-23_UTC_TMC_29_UTSW_DNF_17-18_LEAF.tif	Regent Instruments Inc.  WinRHIZO Reg 2016a 	13.4258	9.9084	2.5639	2528 2084 4084 2488  0	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-75	Smooth Off Area Off LWRatio Off	Off	1	0		0.6403		0		0		0		0			0	0	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 																																																		
