RHIZO 2016a	Operator	Analysis Date Time	ImageFileName	ImageAcqDeviceAndSoftwareInfo DateTimeModified	AnalysedRegionArea(cm2)	AnalysedRegionWidth(cm)	AnalysedRegionHeight(cm)	Left Top Right Bottom  NExclusions	DevOrder Criteria	ImgType CalibMeth TPU Units PxSizeH PxSizeV [CalFile]	PxClassif	Filters	Fractal PxMin PxMax	SoilVol(m3)	Length(cm)	RatioHypLeafToRootLen	ProjArea(cm2)	RatioHypLeafToRootArea	SurfArea(cm2)		AvgDiam(mm)		LenPerVol(cm/m3)		RootVolume(cm3)	FractalDimension	FractalDeviation	Tips	Forks	Crossings	NofLinks	Altitude	ExternalPathLength	LinkAvgLength(cm)	LinkAvgProjArea(cm2)	LinkAvgSurfArea(cm2)	LinkAvgDiam(mm)	LinkAvgBrAngle(deg)	NofNodules	HypocotylLeafArea	HypocotylLeafLength	NAxis	Main NAxis	Main TotLength	Lateral NAxis	Lateral TotLength	Tertiary NAxis	Tertiary TotLength	NSeedlings	NumberOfClasses	ClassBoundaries	0<.L.<=0.5000000	0.5000000<.L.<=1.0000000	1.0000000<.L.<=1.5000000	1.5000000<.L.<=2.0000000	2.0000000<.L.<=2.5000000	2.5000000<.L.<=3.0000000	3.0000000<.L.<=3.5000000	3.5000000<.L.<=4.0000000	4.0000000<.L.<=4.5000000	.L.>4.5000000	0<.SA.<=0.5000000	0.5000000<.SA.<=1.0000000	1.0000000<.SA.<=1.5000000	1.5000000<.SA.<=2.0000000	2.0000000<.SA.<=2.5000000	2.5000000<.SA.<=3.0000000	3.0000000<.SA.<=3.5000000	3.5000000<.SA.<=4.0000000	4.0000000<.SA.<=4.5000000	.SA.>4.5000000	0<.PA.<=0.5000000	0.5000000<.PA.<=1.0000000	1.0000000<.PA.<=1.5000000	1.5000000<.PA.<=2.0000000	2.0000000<.PA.<=2.5000000	2.5000000<.PA.<=3.0000000	3.0000000<.PA.<=3.5000000	3.5000000<.PA.<=4.0000000	4.0000000<.PA.<=4.5000000	.PA.>4.5000000	0<.V.<=0.5000000	0.5000000<.V.<=1.0000000	1.0000000<.V.<=1.5000000	1.5000000<.V.<=2.0000000	2.0000000<.V.<=2.5000000	2.5000000<.V.<=3.0000000	3.0000000<.V.<=3.5000000	3.5000000<.V.<=4.0000000	4.0000000<.V.<=4.5000000	.V.>4.5000000	0<.T.<=0.5000000	0.5000000<.T.<=1.0000000	1.0000000<.T.<=1.5000000	1.5000000<.T.<=2.0000000	2.0000000<.T.<=2.5000000	2.5000000<.T.<=3.0000000	3.0000000<.T.<=3.5000000	3.5000000<.T.<=4.0000000	4.0000000<.T.<=4.5000000	.T.>4.5000000
ELTR_CONC_WR_13_ANALYSES	NoName	6/27/19 13:54	ELTR_CONC_WR_13.tif	Regent Instruments Inc.  WinRHIZO Reg 2016a 	8.3456	2.4198	5.2231	473 1047 853 1870  1	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-14275	Smooth Off Area Off LWRatio Off	Off	1	6.497		8.3287		26.1654		0.2519		70.2562		0.035			101	108	11									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 	68.0185	2.2385	0	0	0	0	0	0	0	0	4.4677	0.3989	0	0	0	0	0	0	0	0	1.4221	0.127	0	0	0	0	0	0	0	0	0.0283	0.0057	0	0	0	0	0	0	0	0	100	1	0	0	0	0	0	0	0	0
ELTR_CONC_WR_14_ANALYSES	NoName	6/27/19 13:55	ELTR_CONC_WR_14.tif	Regent Instruments Inc.  WinRHIZO Reg 2016a 	2.472	2.6554	1.6437	671 512 1088 771  1	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-14275	Smooth Off Area Off LWRatio Off	Off	1	4.3558		2.4664		7.7483		0.2316		60.9453		0.026			283	129	23									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 	59.8051	1.1421	0	0	0	0	0	0	0	0	3.6073	0.2002	0	0	0	0	0	0	0	0	1.1483	0.0637	0	0	0	0	0	0	0	0	0.0227	0.0028	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0
ELTR_CONC_WR_15_ANALYSES	NoName	6/27/19 13:56	ELTR_CONC_WR_15.tif	Regent Instruments Inc.  WinRHIZO Reg 2016a 	2.7448	3.203	2.2657	941 1116 1444 1473  1	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-14275	Smooth Off Area Off LWRatio Off	Off	1	5.3079		2.732		8.583		0.3175		111.5756		0.088			245	396	75									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 	93.7064	17.2874	0.4588	0	0	0	0	0	0	0	6.0838	3.4679	0.1532	0	0	0	0	0	0	0	1.9365	1.1039	0.0488	0	0	0	0	0	0	0	0.041	0.0573	0.0041	0	0	0	0	0	0	0	244	1	0	0	0	0	0	0	0	0
ELTR_CONC_WR_16_ANALYSES	NoName	6/27/19 13:57	ELTR_CONC_WR_16.tif	Regent Instruments Inc.  WinRHIZO Reg 2016a 	9.7958	3.9799	3.4651	832 972 1457 1518  1	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-14275	Smooth Off Area Off LWRatio Off	Off	1	17.0769		7.9126		24.8581		0.2697		39.2594		0.022			76	73	9									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 	38.0664	1.1938	0	0	0	0	0	0	0	0	2.7234	0.2114	0	0	0	0	0	0	0	0	0.8669	0.0673	0	0	0	0	0	0	0	0	0.0193	0.003	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0
ELTR_CONC_WR_17_ANALYSES	NoName	6/27/19 13:58	ELTR_CONC_WR_17.tif	Regent Instruments Inc.  WinRHIZO Reg 2016a 	7.6546	3.1521	5.5912	640 818 1135 1699  1	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-14275	Smooth Off Area Off LWRatio Off	Off	1	13.0213		3.644		11.448		14.7021		19.1588		32.525			3	3	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 	0.0658	0.0191	0.0206	0.0196	0.0132	0.0132	1.0166	0.0222	0.0265	17.9419	0.0044	0.0046	0.0086	0.0115	0.0095	0.0113	1.0996	0.0256	0.0362	81.3207	0.0014	0.0015	0.0027	0.0036	0.003	0.0036	0.35	0.0082	0.0115	25.8852	0	0.0001	0.0003	0.0005	0.0005	0.0008	0.0947	0.0024	0.0039	33.544	2	0	0	0	0	0	0	0	0	1
ELTR_CONC_WR_18_ANALYSES	NoName	6/27/19 13:58	ELTR_CONC_WR_18.tif	Regent Instruments Inc.  WinRHIZO Reg 2016a 	4.0739	2.3179	2.8876	477 628 841 1083  1	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-14275	Smooth Off Area Off LWRatio Off	Off	1	6.5435		3.1517		9.9013		0.3451		25.0418		0.023			32	24	3									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 	23.6628	1.3791	0	0	0	0	0	0	0	0	2.2208	0.2469	0	0	0	0	0	0	0	0	0.7069	0.0786	0	0	0	0	0	0	0	0	0.0186	0.0036	0	0	0	0	0	0	0	0	31	1	0	0	0	0	0	0	0	0
ELTR_CONC_WR_19_ANALYSES	NoName	6/27/19 13:59	ELTR_CONC_WR_19.tif	Regent Instruments Inc.  WinRHIZO Reg 2016a 	25.2366	7.3358	9.9892	140 662 1292 2236  1	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-14275	Smooth Off Area Off LWRatio Off	Off	1	19.114		25.2199		79.2307		0.2769		22.3119		0.013			44	24	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 	22.213	0.099	0	0	0	0	0	0	0	0	1.7333	0.0167	0	0	0	0	0	0	0	0	0.5517	0.0053	0	0	0	0	0	0	0	0	0.012	0.0002	0	0	0	0	0	0	0	0	43	1	0	0	0	0	0	0	0	0
ELTR_CONC_WR_20_ANALYSES	NoName	6/27/19 14:01	ELTR_CONC_WR_20.tif	Regent Instruments Inc.  WinRHIZO Reg 2016a 	8.3081	5.5401	4.7534	246 1005 1116 1754  1	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-14275	Smooth Off Area Off LWRatio Off	Off	1	10.3903		8.2995		26.0738		16.524		23.4393		50.265			5	5	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 	0	0	0	0	0	0	0	0	0	23.4393	0	0	0	0	0	0	0	0	0	120.9772	0	0	0	0	0	0	0	0	0	38.5083	0	0	0	0	0	0	0	0	0	51.918	0	0	0	0	0	0	0	0	0	5
ELTR_CONC_WR_21_ANALYSES	NoName	6/27/19 14:02	ELTR_CONC_WR_21.tif	Regent Instruments Inc.  WinRHIZO Reg 2016a 	12.5424	4.1137	6.4987	372 944 1018 1968  1	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-14275	Smooth Off Area Off LWRatio Off	Off	1	18.8156		7.7719		24.4161		10.7522		13.7909		12.522			3	3	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 	0.238	0	0	0	0	1.4263	0	2.2301	0	9.8965	0.0198	0	0	0	0	1.3294	0	2.7588	0	37.1678	0.0063	0	0	0	0	0.4232	0	0.8782	0	11.8309	0.0001	0	0	0	0	0.0986	0	0.2716	0	11.8824	1	0	0	0	0	0	0	0	0	2
ELTR_CONC_WR_22_ANALYSES	NoName	6/27/19 14:04	ELTR_CONC_WR_22.tif	Regent Instruments Inc.  WinRHIZO Reg 2016a 	9.9698	3.4769	4.9058	331 835 877 1608  1	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-14275	Smooth Off Area Off LWRatio Off	Off	1	4.658		0.0561		0.1761		13.4692		14.906		21.239			8	4	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 	1.5763	3.2652	0	0	0	0	0	0	0	10.0645	0.0966	0.6456	0	0	0	0	0	0	0	54.1339	0.0308	0.2055	0	0	0	0	0	0	0	17.2313	0.0005	0.0102	0	0	0	0	0	0	0	24.5933	7	0	0	0	0	0	0	0	0	1
