CSU_TRAIT_ID,TRT,H_num,HT,L_num,LWS,LWD,RWD,LWF_A,LWS_A,LWD_A,LWF_B,LWS_B,LWD_B,NOTES,Round
ELTR_CULT_FS_13,D,1,3.7,2,0.0044,0.0008,0.0007,,,,,,,,A
ELTR_CULT_FS_14,D,1,0.8,1,0,0,-,,,,,,,,A
ELTR_CULT_FS_15,D,1,0.5,1,0,-,0,,,,,,,,A
ELTR_CULT_FS_16,D,1,0.1,1,0,-,0,,,,,,,,A
ELTR_CULT_FS_17,C,1,0.1,1,0,-,0,,,,,,,,A
ELTR_CULT_FS_18,C,D,D,D,D,D,D,,,,,,,,A
ELTR_CULT_FS_19,C,1,0.2,1,0,0,0,,,,,,,,A
ELTR_CULT_FS_20,C,1,3.4,2,0.0029,0.0011,0,,,,,,,,A
ELTR_CULT_FS_21,B,1,0.7,1,0,,-,,,,,,,,A
ELTR_CULT_FS_22,B,1,3.9,2,0.0023,-,0.0007,,,,,,,,A
ELTR_CULT_FS_23,B,1,1..9,2,0.0037,0,0,,,,,,,,A
ELTR_CULT_FS_24,B,1,3.9,2,0.0049,0.0007,0.001,,,,,,,,A
ELTR_CULT_FS_25,D,2,4.8,2,0.0082,0.0019,0.0013,,,,,,,,A
ELTR_CULT_FS_26,D,2,5.4,3,0.0182,0.0032,0.0022,,,,,,,,A
ELTR_CULT_FS_27,D,2,6.2,3,0.0206,0.0041,0.0049,,,,,,,,A
ELTR_CULT_FS_28,D,2,8.3,3,0.0209,0.0043,0.0037,,,,,,,,A
ELTR_CULT_FS_29,C,2,6.7,3,0.0205,0.003,0.0022,,,,,,,,A
ELTR_CULT_FS_30,C,2,8.7,3,0.0261,0.0027,0.0007,,,,,,,,A
ELTR_CULT_FS_31,C,2,4.4,3,0.0042,0.0002,0.0005,,,,,,,,A
ELTR_CULT_FS_32,C,D,D,D,D,D,D,,,,,,,,A
ELTR_CULT_FS_33,B,2,5.7,3,0.0119,0.0019,0.001,,,,,,,,A
ELTR_CULT_PRY_13,B,1,8.4,2,0.0091,0.0021,0.0019,,,,,,,,A
ELTR_CULT_PRY_14,B,1,11,1,0.0111,0.0027,0.002,,,,,,,,A
ELTR_CULT_PRY_15,B,1,7.4,1,0.006,0.0017,0.0015,,,,,,,,A
ELTR_CULT_PRY_16,B,1,13.2,1,0.0157,0.0031,0.0035,,,,,,,,A
ELTR_CULT_PRY_17,C,1,6.5,1,0.0073,0.0015,0.002,,,,,,,,A
ELTR_CULT_PRY_18,C,1,11,1,0.0101,0.0024,0.0028,,,,,,,,A
ELTR_CULT_PRY_19,C,1,9.7,2,0.0156,0.0025,0.0032,,,,,,,,A
ELTR_CULT_PRY_20,C,1,10.1,2,0.0191,0.0025,0.0034,,,,,,,,A
ELTR_CULT_PRY_21,D,1,7.1,1,0.0064,0.0012,0.0018,,,,,,,,A
ELTR_CULT_PRY_22,D,1,5,2,0.0054,0.0008,0.0007,,,,,,,,A
ELTR_CULT_PRY_23,D,1,6.8,2,0.0114,0.0018,0.001,,,,,,,,A
ELTR_CULT_PRY_24,D,1,2.2,1,0.0023,0.0001,0,,,,,,,,A
ELTR_CULT_PRY_25,D,2,9.1,3,0.0268,0.0067,0.006,,,,,,,,A
ELTR_CULT_PRY_26,D,2,8.1,2,0.0092,0.0024,0.0036,,,,,,,,A
ELTR_CULT_PRY_27,D,2,10.5,3,0.0247,0.0061,0.005,,,,,,,,A
ELTR_CULT_PRY_29,C,2,9.1,3,0.0273,0.0041,0.0026,,,,,,,,A
ELTR_CULT_PRY_30,C,2,8.9,3,0.0248,0.0034,0.0014,,,,,,,,A
ELTR_CULT_PRY_31,C,2,13.8,3,0.0616,0.0094,0.0075,,,,,,,,A
ELTR_CULT_PRY_32,C,2,15.5,4,0.0529,0.0085,0.0045,,,,,,,,A
ELTR_CULT_PRY_33,B,2,16.4,5,0.1224,0.0175,0.0128,,,,,,,,A
ELTR_CULT_PRY_34,B,2,10.8,3,0.035,0.0062,0.0035,,,,,,,,A
ELTR_CULT_PRY_35,B,2,13.1,3,0.0446,0.0064,0.0036,,,,,,,,A
ELTR_CULT_PRY_36,B,2,20,6,0.1513,0.023,0.011,,,,,,,,A
ELTR_CULT_PRY_37,D,1,0.1,1,0,-,0,,,,,,,,A
ELTR_CULT_PRY_38,D,D,D,D,D,D,D,,,,,,,,A
ELTR_CULT_RV_13,C,1,10.1,1,0.0106,0.0015,0.0022,,,,,,,,A
ELTR_CULT_RV_14,C,1,12.3,2,0.0183,0.0035,0.0039,,,,,,,,A
