"","SAMPLE_ID","SumOfLength.cm.","SumOfProjArea.cm2.","SumOfSurfArea.cm2.","SumOfAvgDiam.mm.","SumOfRootVolume.cm3.","STEM","COTS_TOTAL","LEAF_TOTAL","LEAVES_TOTAL","Total.Of.PROJ_AREA_AG","LEAF","TRANSP_DATE","GERM_ID","COLOR","TLD","HD","H_num","HT","L_num","C_num","PWF","L.SFW","CWS","CWD","LWS","LWD","SWS","SWD","RWF","RWD","LWF_A","LWS_A","LWD_A","LWF_B","LWS_B","LWD_B","BWF_A","BWS_A","BWD_A","SWF_A","SWD_A","NOTES","AVG_SEED_WEIGHT","SPECIES","LOCATION_CODE","POP_CODE","SAMPLE_NUM","LETTER","COLOR","POP_ID","SLA","SRL","RMR","RALAR"
"1","ACMI_NMNC_CM_1_H4_O",1039.1887,32.7809,102.9844,0.3154,0.812,NA,NA,NA,NA,NA,NA,"7/20/18","A3","O","8/7/18","10/12/18",4,13,7,NA,2.2032,1.007,NA,NA,0.6828,0.1242,0.0087,NA,0.93,0.0718,0.3836,0.3841,0.0472,NA,NA,NA,NA,NA,NA,NA,"",NA,7.75e-05,"ACMI","NMNC","CM","1","H4","O","ACMI_NMNC_CM",NA,144.733802228412,0.295230263157895,NA
"2","ACMI_NMNC_CM_2_H3_O",28.7008,0.4697,1.4757,0.1637,0.006,NA,0.0441,NA,0.3596,0.4037,NA,"7/20/18","B2","O","8/3/18","8/31/18",3,2.5,5,2,0.0188,0.0109,6e-04,NA,0.008,0.0011,6e-04,NA,0.0064,2e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,7.75e-05,"ACMI","NMNC","CM","2","H3","O","ACMI_NMNC_CM",326.909090909091,NA,0.153846153846154,0.537783375314862
"3","ACMI_NMNC_CM_3_H3_G",18.8451,0.3342,1.0498,0.1773,0.005,NA,0.0556,NA,0.4074,0.463,NA,"7/20/18","A7","G","8/3/18","8/31/18",3,2.9,5,2,0.0163,0.0113,4e-04,NA,0.0078,6e-04,5e-04,NA,0.003,0.00032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,7.75e-05,"ACMI","NMNC","CM","3","H3","G","ACMI_NMNC_CM",679,588.909375,0.347826086956522,0.41921726041144
"4","ACMI_NMNC_CM_8_H4_O",6970.3049,209.5745,658.3977,0.882,4.967,NA,NA,20.3113,NA,20.3113,20.3113,"8/2/18","C11","O","8/21/18","10/26/18",4,20.6,27,NA,13.7131,7.5109,NA,NA,7.5109,1.0343,5e-04,NA,0.003,NA,0.8755,0.7912,0.136,NA,NA,NA,NA,NA,NA,NA,"",NA,7.75e-05,"ACMI","NMNC","CM","8","H4","O","ACMI_NMNC_CM",149.347794117647,NA,NA,NA
"5","ACMI_NMNC_CM_12_H2_G",8.3005,0.1461,0.4588,0.176,0.002,NA,0.028,NA,0.0316,0.0596,NA,"8/2/18","C8","G","8/15/18","8/25/18",2,0.5,2,2,0.0033,0.0017,4e-04,NA,0.0016,0.000185,NA,NA,0.0012,0.00011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,7.75e-05,"ACMI","NMNC","CM","12","H2","G","ACMI_NMNC_CM",170.810810810811,754.590909090909,0.372881355932203,0.710257656781721
"6","ACMI_NMNC_CM_14_H1_G",4.1629,0.0651,0.2044,0.1563,0.001,NA,0.0414,NA,0.0149,0.0563,NA,"8/2/18","D2","G","8/9/18","8/11/18",1,0.6,2,2,0.002,0.0015,0.0037,NA,0.0013,NA,NA,NA,3e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,7.75e-05,"ACMI","NMNC","CM","14","H1","G","ACMI_NMNC_CM",NA,NA,NA,0.536243822075783
"7","ACMI_NMNC_CM_15_H2_G",62.2957,1.0764,3.3814,0.5179,0.014,NA,0.0823,NA,0.3073,0.3896,NA,"8/2/18","D10","G","8/14/18","8/25/18",2,1.5,3,2,0.0202,0.0099,0.0029,NA,0.0092,0.0011,NA,5e-04,0.0041,1e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,7.75e-05,"ACMI","NMNC","CM","15","H2","G","ACMI_NMNC_CM",279.363636363636,NA,0.0833333333333333,0.734242837653479
"8","ACMI_NMNC_CM_17_H3_G",26.15,0.4037,1.2682,0.1544,0.005,NA,0.0348,NA,1.7977,1.8325,NA,"8/4/18","C1","G","8/14/18","9/15/18",3,3.1,8,NA,0.0566,0.0499,NA,NA,0.0432,0.0042,NA,NA,0.0066,7e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,7.75e-05,"ACMI","NMNC","CM","17","H3","G","ACMI_NMNC_CM",428.02380952381,373.571428571429,0.142857142857143,0.18052946963599
"9","ACMI_NMNC_CM_18_H1_G",0.3631,0.0074,0.0234,0.2048,NA,NA,0.0194,NA,NA,0.0194,NA,"8/4/18","B1","G","8/14/18","8/14/18",1,0.8,NA,2,0.0016,0.0029,0.0015,4e-04,NA,NA,NA,NA,1e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,7.75e-05,"ACMI","NMNC","CM","18","H1","G","ACMI_NMNC_CM",NA,NA,NA,0.276119402985075
"10","ACMI_NMNC_CM_12_H2_O",3.3632,0.0763,0.2396,0.2267,0.001,NA,0.0416,NA,0.0358,0.0774,NA,"8/2/18","C8","O","8/15/18","8/25/18",2,0.7,3,2,0.0036,0.0025,9e-04,NA,0.0015,0.000196,NA,NA,0.011,0.00014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,7.75e-05,"ACMI","NMNC","CM","12","H2","O","ACMI_NMNC_CM",182.65306122449,240.228571428571,0.416666666666667,0.496421600520494
"11","ACMI_NMNC_CM_14_H1_O",3.4333,0.0504,0.1582,0.1467,0.001,NA,0.0465,NA,0.0181,0.0646,NA,"8/2/18","D3","O","8/9/18","8/11/18",1,0.7,2,2,0.0025,0.0017,0.002,9e-04,6e-04,NA,7e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,7.75e-05,"ACMI","NMNC","CM","14","H1","O","ACMI_NMNC_CM",NA,NA,NA,0.438260869565217
